Cod. Pptal,Nombre Rubro,Tipo,Tipo gasto,Cod FUT,Fuentes Rec,Uni Eje,Sit Fondos,Vigencia,Fondo Local,Cod Gastos,Cod CGR,Cod Recurso,OER,CDA,Vig. Gasto,Fin. Gasto,Uni Ejec,Ent Recip,Codigo SIA,Clase pago SIA,Banco Pagos,Fuente recursos,Sectores inversion,Cod Cabildos,Fuente Cabildos
2.10E+17,3.1.4.2.1.1.2 de concejales (municipios de categoría 4 5 y 6 a partir de la vigencia de la ley 1148/07) ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.03.03.01.05,10,8,1,1,70131,7,1.10E+14,A1,TP2,,FF10,,,
2.10E+15,3.1.4.2.1.2 aportes para pensión ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.03.03.01.03,10,8,1,1,70131,7,1.10E+14,A1,TP2,,FF10,,,
2.10E+15,3.1.4.2.1.3 aportes arp ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.03.03.02,10,8,1,1,70131,7,1.10E+14,A1,TP2,,FF10,,,
2.10E+15,3.1.4.2.1.4 aportes para cesantías ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.03.03.01.01,10,8,1,1,70131,7,1.10E+14,A1,TP2,,FF10,,,
2.10E+11,3.1.4.3 APORTES PARAFISCALES ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+13,3.1.4.3.1 sena ,D,FUNCIONAMIENTO,1,1,C,C,,,,2.1.01.03.01.03.01,10,8,1,1,70131,7,1.10E+14,A1,TP2,,FF10,,,
2.10E+13,3.1.4.3.2 icbf ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.03.01.03.03,10,8,1,1,70131,7,1.10E+14,A1,TP2,,FF10,,,
2.10E+13,3.1.4.3.3 esap ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.03.01.03.05,10,8,1,1,70131,7,1.10E+14,A1,TP2,,FF10,,,
2.10E+13,3.1.4.3.4 cajas de compensación familiar ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.03.03.03,10,8,1,1,70131,7,1.10E+14,A1,TP2,,FF10,,,
2.10E+13,3.1.4.3.5 institutos técnicos ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.03.01.03.07,10,8,1,1,70131,7,1.10E+14,A1,TP2,,FF10,,,
21010302,3.2 GASTOS GENERALES ( 4.2.1 AL 4.2.3) ,M,,,,,,,,,,,,,,,,,,,,,,,
2101030201,3.2.1 ADQUISICIÓN DE BIENES ( 4.2.1.1 AL 4.2.1.3) ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,3.2.1.1 compra de equipos ,D,FUNCIONAMIENTO,1,1,C,C,,,,2.1.02.01.03,10,8,1,1,7013398,7,1.10E+14,A2,C5,,FF1,,,
2.10E+11,3.2.1.2 materiales y suministros ,D,FUNCIONAMIENTO,1,1,C,C,,,,2.1.02.01.01,10,8,1,1,7013398,7,1.10E+14,A2,C5,,FF1,,,
2.10E+11,3.2.1.3 inhumación de cadáveres,D,FUNCIONAMIENTO,1,1,C,C,,,,2.1.02.01.98,10,8,1,1,7013398,7,1.10E+14,A2,C5,,FF1,,,
2101030202,3.2.2 ADQUISICIÓN DE SERVICIOS (SUMA 4.2.2.1 AL 4.2.2.11) ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,3.2.2.1 capacitación bienestar social e incentivos ,D,FUNCIONAMIENTO,1,1,C,C,,,,2.1.02.02.27,10,8,1,1,7013398,7,1.10E+14,A2,C1,,FF1,,,
2.10E+11,3.2.2.2 impresos y publicaciones ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.02.02.13,10,8,1,1,7013301,7,1.10E+14,A2,C12,,FF1,,,
2.10E+11,3.2.2.3 SEGUROS ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+13,3.2.2.3.2 SEGUROS DE VIDA ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+15,3.2.2.3.2.1 del alcalde ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.02.02.09,10,8,1,1,7013398,7,1.10E+14,A2,C9,,FF1,,,
2.10E+15,3.2.2.3.2.2 de los concejales (municipios de categoría 4 5 y 6 a partir de la vigencia de la ley 1148/07) ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.02.02.10,10,8,1,1,7013398,7,1.10E+14,A2,C9,,FF1,,,
2.10E+13,3.2.2.3.3 otros seguros ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.02.02.09,10,8,1,1,7013398,7,1.10E+14,A2,C9,,FF1,,,
2.10E+11,3.2.2.5 arrendamientos ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.02.02.21,10,8,1,1,7013398,7,1.10E+14,A2,C8,,FF1,,,
2.10E+11,3.2.2.7 SERVICIOS PÚBLICOS ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+13,3.2.2.7.1 energía ,D,FUNCIONAMIENTO,1,1,C,C,,,,2.1.02.02.07,10,8,1,1,7013398,7,1.10E+14,A2,C12,,FF1,,,
2.10E+13,3.2.2.7.2 transporte y telecomunicaciones ,D,FUNCIONAMIENTO,1,1,C,C,,,,2.1.02.02.07,10,8,1,1,7013398,7,1.10E+14,A2,C12,,FF1,,,
2.10E+13,3.2.2.7.3 acueducto alcantarillado y aseo ,D,FUNCIONAMIENTO,1,1,C,C,,,,2.1.02.02.07,10,8,1,1,7013398,7,1.10E+14,A2,C12,,FF1,,,
2.10E+11,3.2.2.9 viáticos y gastos de viaje ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.02.02.03,10,8,1,1,7013398,7,1.10E+14,A2,TP4,,FF1,,,
2.10E+11,3.2.2.10 gastos electorales ,D,FUNCIONAMIENTO,1,1,C,C,,,,2.1.02.02.98,10,8,1,1,7013398,7,1.10E+14,A2,C12,,FF1,,,
2.10E+11,3.2.2.11 gastos de transporte de concejales,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.02.02.05,10,8,1,1,7013398,7,1.10E+14,A2,C12,,FF1,,,
2101030203,3.2.3 otros gastos generales (gastos bancarios) ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.02.02.23,10,8,1,1,7013398,7,1.10E+14,A2,C12,,FF1,,,
2101030204,3.2.4 gastos generales para la legalización de vehículos y maquinaria,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.02.01.98,10,8,1,1,7013398,7,1.10E+14,A2,C12,,FF1,,,
2101030205,3.2.5 otros gastos-camaras de seguridad ,D,FUNCIONAMIENTO,,,,C,ACTUAL,,,,,,,,,,,,,,,,,
21010303,3.3 TRANSFERENCIAS CORRIENTES ,M,,,,,,,,,,,,,,,,,,,,,,,
2101030301,3.3.1 mesadas pensiónales,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.03.02.03.01,10,8,1,1,7013398,7,1.10E+14,A3,C12,,FF10,,,
2101030314,3.3.14 otras transferencias corrientes ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.03.98.98,10,8,1,1,7013398,7,1.10E+14,A3,C12,,FF10,,,
2102,b servicio de la deuda,D,SERVICIO_DEUDA,17,1,C,C,,,,2.1.03.98.98,10,8,1,1,7013398,7,1.10E+14,A3,TP5,,FF10,,,
2103,C INVERSION ,M,,,,,,,,,,,,,,,,,,,,,,,
210301,C1 INVERSION LIBRE CON RECURSOS PROPIOS ,M,,,,,,,,,,,,,,,,,,,,,,,
21030104,4 PROGRAMA DEPORTE ,M,,,,,,,,,,,,,,,,,,,,,,,
2103010401,4.1 SUB PROGRAMA FOMENTO DESARROLLO Y PRÁCTICA DEL DEPORTE LA RECREACIÓN Y EL APROVECHAMIENTO DEL TIEMPO LIBRE ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,4.1.1 fomento de actividades deportivas,D,INVERSION,,,,C,ACTUAL,,,2.3.03.02.47,10,13,70,1,7081,7,1.10E+14,,,,,,,
21030109,9 PROGRAMA TRANSPORTE ,M,,,,,,,,,,,,,,,,,,,,,,,
2103010904,9.4 SUB PROGRAMA MANTENIMIENTO VIAL MUNICIPAL ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,9.4.1 gastos operativos de inversión para mantenimiento vial,D,INVERSION,45,1,C,C,,,,2.3.01.01.03.33,10,19,39,1,7045101,7,1.10E+14,C1,,,FF10,,,
2.10E+11,9.4.2 adoquinamiento calles sector urbano,D,INVERSION,45,1,C,C,,,,2.3.01.01.03.33,10,19,39,1,7045101,7,1.10E+14,C1,,,FF10,,,
21030116,16 DESARROLLO COMUNITARIO ,M,,,,,,,,,,,,,,,,,,,,,,,
2103011601,16.1 SUB PROGRAMA PROYECTOS ENCAMINADOS AL DESARROLLO DE LA COMUNIDAD ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,16.1.4 coordinación de programas sociales ,D,INVERSION,45,1,C,C,,,,2.3.03.02.98,10,19,39,1,7045101,7,1.10E+14,C1,,,FF10,,,
21030117,17 FORTALECIMIENTO INSTITUCIONAL ,M,,,,,,,,,,,,,,,,,,,,,,,
2103011702,17.2 SUB PROGRAMA FORTALECIMIENTO DE LA GESTIÓN ADMINISTRATIVA MUNICIPAL ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,17.2.1 fortalecimiento de la gestión administrativa local,D,INVERSION,45,1,C,C,,,,2.3.05.01,10,19,66,1,70132,7,1.10E+14,C1,,,FF10,,,
2103011705,17.5 SUBPROGRAMA ACUERDOS DE PAGO DE PASIVOS ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,17.5.1 deficit fiscal,D,INVERSION,45,1,C,C,,,,2.1.03.98.07,10,19,1,1,70498,7,1.10E+14,C1,,,FF10,,,
21030125,25 SERVICIO DE LA DEUDA ,M,,,,,,,,,,,,,,,,,,,,,,,
2103012501,25.1 SUB PROGRAMA SERVICIO DE LA DEUDA ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,25.1.1 abono a capital,D,SERVICIO_DEUDA,17,1,C,C,,,,2.4.02.01.01,10,7,98,1,7017,7,1.10E+14,B1,,,FF10,,,
2.10E+11,25.1.2 pago de intereses,D,SERVICIO_DEUDA,17,1,C,C,,,,2.4.02.02.01,10,7,98,1,7017,7,1.10E+14,B1,,,FF10,,,
210302,C2 INVERSION FORZOSA CON RECURSOS DEL SGP. ,M,,,,,,,,,,,,,,,,,,,,,,,
21030201,1 PROGRAMA EDUCACION ,M,,,,,,,,,,,,,,,,,,,,,,,
2103020102,1.2 SUB PROGRAMA CALIDAD EDUCATIVA ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,1.2.1 preinversion: estudios diseños consultorias asesorias e interventorias,D,INVERSION,4,1,C,C,,,,2.3.04.02.02,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2.10E+11,1.2.3 mantenimiento y mejoramiento de infraestructura propia del sector,D,INVERSION,4,1,C,C,,,,2.3.01.01.03.49,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2.10E+11,1.2.4 dotacion de mobiliario escolar,D,INVERSION,4,1,C,C,,,,2.3.02.01.01.03,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2.10E+11,1.2.5 dotación institucional de materiales pedagógicos para el aprendizaje,D,INVERSION,4,1,C,C,,,,2.3.02.01.01.07,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2.10E+11,1.2.6 pago energìa instituciones eductivas,D,INVERSION,4,1,C,C,,,,2.3.02.02.01.01,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2.10E+11,1.2.7 servicio de transporte escolar,D,INVERSION,4,1,C,C,,,,2.3.02.01.02.09,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2.10E+11,1.2.8 capacitación a la comunidad educativa,D,INVERSION,4,1,C,C,,,,2.3.03.01.01,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2.10E+11,1.2.9 funcionamiento básico de establecimientos educativos estatales,D,INVERSION,4,1,C,C,,,,2.3.03.01.98,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2.10E+11,1.2.10 alimentación escolar,D,INVERSION,4,1,C,C,,,,2.3.06.02.09,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2.10E+11,1.2.72 aplicación de procesos educativos transversales,D,INVERSION,4,1,C,C,,,,2.3.03.01.98,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2103020103,1.3 SUBPROGRAMA OTROS GASTOS EN EDUCACIÓN ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,1.3.7 matrícula (niños entre los 5 y 17 años de los niveles 1 y 2 del sisben o en condición de desplazamiento e indígenas),D,INVERSION,4,1,C,C,,,,2.3.03.01.98,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2103020107,1.7 SUB PROGRAMA ATENCIÒN A LA PRIMERA INFANCIA ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,1.7.1 atenciòn a la primera infancia,D,INVERSION,12,1,C,C,,,,2.3.03.02.09,10,13,28,1,7104,7,1.10E+14,C2B,,,FF2,,,
2103020110,1.10 SUB PROGRAMA ALIMENTACIÒN ESCOLAR ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,1.10.1 compra de alimentos,D,INVERSION,2,1,C,C,,,,2.3.06.02.09,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2.10E+11,1.10.2 otros gastos asociados a alimentación escolar,D,INVERSION,2,1,C,C,,,,2.3.06.02.09,10,13,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2103020115,1.15 SUBPROGRAMA CALIDAD EDUCATIVA CON RECURSOS DE SUPERÁVIT. ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,1.15.1 preinversión: estudios diseños consultorías asesorías e interventorías,D,INVERSION,3,1,C,C,,,,2.3.04.02.02,10,47,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2.10E+11,1.15.2 mantenimiento de infraestructura educativa,D,INVERSION,3,1,C,C,,,,2.3.01.01.03.49,10,47,2,1,7098,7,1.10E+14,C2B,,,FF2,,,
2.10E+11,1.15.3 dotación institucional de material y medios pedagógicos para el aprendizaje,D,INVERSION,3,1,C,C,,,,2.3.02.01.01.07,10,47,2,1,7098,,1.10E+14,C2B,,,FF2,,,
21030203,3 PROGRAMA AGUA POTABLE Y SANEAMIENTO BASICO ,M,,,,,,,,,,,,,,,,,,,,,,,
2103020301,3.1 SUBPROGRAMA SERVICICIO DE ACUEDUCTO ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,3.1.1 otorgamiento de subsidios a los usuarios de los estratos 1 2 y 3,D,INVERSION,10,1,C,C,,,,2.3.06.02.03,10,13,22,1,7063,7,1.10E+14,C2C,,,FF4,,,
2.10E+11,3.1.2 preinversión en estudios diseños e interventorias,D,INVERSION,10,1,C,C,,,,2.3.04.02.01,10,13,22,1,7063,7,1.10E+14,C2C,,,FF4,,,
2.10E+11,3.1.4 diseño e implantación de esquemas organizacionales para la administraciòn de sistemas de acueducto ,D,INVERSION,10,1,C,C,,,,2.3.04.02.01,10,13,22,1,7063,7,1.10E+14,C2C,,,FF4,,,
2.10E+11,3.1.7 ampliación y mejoramiento de los acueductos,D,INVERSION,10,1,C,C,,,,2.3.01.01.03.13,10,13,22,1,7063,7,1.10E+14,C2C,,,FF4,,,
2103020302,3.2 SUBPROGRAMA SERVICICIO DE ALCANTARILLADO ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,3.2.1 otorgamiento de subsidios a los usuarios de los estratos 1 2 y 3,D,INVERSION,10,1,C,C,,,,2.3.06.02.03,10,13,24,1,7052,7,1.10E+14,C2C,,,FF4,,,
2.10E+11,3.2.2 preinversión en estudios diseños e interventorias,D,INVERSION,10,1,C,C,,,,2.3.04.01.01,10,13,24,1,7052,7,1.10E+14,C2C,,,FF4,,,
2.10E+11,3.2.4 diseño e implantación de esquemas organizacionales para la administración y operación de sistemas de alcantarillado ,D,INVERSION,10,1,C,C,,,,2.3.04.01.01,10,13,24,1,7052,7,1.10E+14,C2C,,,FF4,,,
2.10E+11,3.2.12 rehabilitación y mantenimiento de sistemas de alcantarillado,D,INVERSION,10,1,C,C,,,,2.3.01.01.03.15,10,13,24,1,7052,7,1.10E+14,C2C,,,FF4,,,
2.10E+11,3.2.17 implementación de baterias sanitarias en las viviendas,D,INVERSION,10,1,C,C,,,,2.3.01.01.01.27,10,13,24,1,7052,7,1.10E+14,C2C,,,FF4,,,
2103020303,3.3 SUBPROGRAMA SERVICICIO DE ASEO ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,3.3.1 otorgamiento de subsidios a los usuarios de los estratos 1 2 y 3,D,INVERSION,10,1,C,C,,,,2.3.06.02.03,10,13,23,1,7051,7,1.10E+14,C2C,,,FF4,,,
2.10E+11,3.3.4 diseño e implantación de esquemas organizacionales para la administración y operación del servicio público de aseo ,D,INVERSION,10,1,C,C,,,,2.3.04.01.01,10,13,23,1,7051,7,1.10E+14,C2C,,,FF4,,,
2103020305,3.5 SUBPROGRAMA TRANSFERENCIAS PARA EL PLAN DEPARTAMENTAL DE AGUA POTABLE Y SANEAMIENTO BÁSICO ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,3.5.1 plan departamental de agua potable y saneamiento básico,D,INVERSION,10,1,S,S,,,,2.3.01.01.01.13,10,13,22,1,7063,7,1.10E+14,C2C,,,FF4,,,
2103020315,3.15 SUBPROGRAMA AGUA POTABLE Y SANEAMIENTO BÁSICO CON RECURSOS DE SUPERÁVIT ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,3.15.1 otorgamiento de subsidios a los usuarios de los estratos 1 área urbana,D,INVERSION,9,1,C,C,,,,2.3.06.02.03,10,47,25,1,7063,7,1.10E+14,C2C,,,FF4,,,
2.10E+11,3.15.2 formulación implementación y acciones de fortalecimiento para la administración y operación del servicio de acueducto,D,INVERSION,9,1,C,C,,,,2.3.04.01.01,10,47,25,1,7051,7,1.10E+14,C2C,,,FF4,,,
2.10E+11,3.15.3 formulación implementación y acciones de fortalecimiento para la administración y operación del servicio de alcantarillado,D,INVERSION,9,1,C,C,,,,2.3.04.01.01,10,47,24,1,7051,7,1.10E+14,C2C,,,FF4,,,
2.10E+11,3.15.4 formulación implementación y acciones de fortalecimiento para la administración y operación del servicio de aseo,D,INVERSION,9,1,C,C,,,,2.3.04.01.01,10,47,23,1,7051,7,1.10E+14,C2C,,,FF4,,,
2103020316,3.16 SUBPROGRAMA AGUA POTABLE Y SANEAMIENTO BÁSICO CON RECURSOS DE REINTEGRO 2010 ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,3.16.1 otorgamiento de subsidios al servicio de acueducto usuarios de los estratos 1 2 y 3,D,INVERSION,9,1,C,C,,,,2.3.06.02.03,10,47,22,1,7052,7,1.10E+14,,,,,,,
21030204,4 PROGRAMA DEPORTE ,M,,,,,,,,,,,,,,,,,,,,,,,
2103020401,4.1 SUB PROGRAMA FOMENTO DESARROLLO Y PRÁCTICA DEL DEPORTE LA RECREACIÓN Y EL APROVECHAMIENTO DEL TIEMPO LIBRE ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,4.1.1 fomento desarrollo y práctica del deporte la recreación y el aprovechamiento del tiempo libre,D,INVERSION,34,1,C,C,,,,2.3.03.02.47,10,13,70,1,7081,7,1.10E+14,C2D,,,FF5,,,
2103020402,4.2 SUB PROGRAMA CONSTRUCCIÓN MANTENIMIENTO Y/O ADECUACIÓN DE ESCENARIOS DEPORTIVOS Y RECREATIVOS ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,4.2.1 programa construcción mantenimiento y/o adecuación de escenarios deportivos y recreativos,D,INVERSION,34,1,C,C,,,,2.3.01.01.03.51,10,13,70,1,70443,7,1.10E+14,C2D,,,FF5,,,
2103020403,4.3 SUBPROGRAMA DOTACIÓN DE ESCENARIOS DEPORTIVOS E IMPLEMENTOS PARA LA PRÁCTICA DEL DEPORTE ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,4.3.1 dotación de escenarios deportivos e implementos para la práctica del deporte,D,INVERSION,34,1,C,C,,,,2.3.02.01.01.03,10,13,70,1,7081,7,1.10E+14,C2D,,,FF5,,,
2103020415,4.15 SUB PROGRAMA FOMENTO DESARROLLO Y PRÁCTICA DEL DEPORTE LA RECREACIÓN Y EL APROVECHAMIENTO DEL TIEMPO LIBRE CON RECURSOS DE SUPERÁVIT. ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,4.15.1 fomento desarrollo y práctica del deporte la recreación y el aprovechamiento del tiempo libre,D,INVERSION,33,1,C,C,,,,2.3.03.02.47,10,47,70,1,7081,7,1.10E+14,C2D,,,FF5,,,
21030205,5 PROGRAMA CULTURA ,M,,,,,,,,,,,,,,,,,,,,,,,
2103020501,5.1 SUB PROGRAMA FOMENTO Y DIFUSIÓN DE EVENTOS Y EXPRESIONES ARTÍSTICAS Y CULTURALES ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,5.1.1 fomento y difusión de eventos y expresiones artísticas y culturales,D,INVERSION,36,1,C,C,,,,2.3.03.02.25,10,13,48,1,7082,7,1.10E+14,C2E,,,FF6,,,
2103020508,5.8 SUB PROGRAMA INSTRUCTORES CONTRATADOS PARA BANDAS MUSICALES ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,5.8.1 pago de instructores contratados para bandas musicales,D,INVERSION,36,1,C,C,,,,2.3.03.02.25,10,13,48,1,7082,7,1.10E+14,C2E,,,FF6,,,
2103020515,5.15 SUB PROGRAMA FOMENTO Y DIFUSIÓN DE EVENTOS Y EXPRESIONES ARTÍSTICAS Y CULTURALES CON RECURSOS DE SUPERÁVIT ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,5.15.1 fomento y difusión de eventos y expresiones artísticas y culturales,D,INVERSION,35,1,C,C,,,,2.3.03.02.25,10,47,48,1,7082,7,1.10E+14,C2E,,,FF6,,,
21030206,LIBRE INVERSION OTROS SECTORES ,M,,,,,,,,,,,,,,,,,,,,,,,
2103020606,6 PROGRAMA SERVICIOS PUBLICOS ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,6.1 SUB PROGRAMA ALUMBRADO PÚBLICO ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+13,6.1.2 mantenimiento y expansión del servicio de alumbrado público,D,INVERSION,38,1,C,C,,,,2.3.01.01.03.55,10,13,86,1,70443,7,1.10E+14,C2L,,,FF10,,,
2.10E+13,6.1.3 pago suministro de energía electrica para el servicio de alumbrado público,D,INVERSION,38,1,C,C,,,,2.3.01.01.03.55,10,13,86,1,70435,7,1.10E+14,C2L,,,FF10,,,
2.10E+13,6.1.4 servico de energia mayasquer,D,INVERSION,38,1,C,C,,,,2.3.01.01.03.55,10,13,86,1,70435,7,1.10E+14,C2L,,,FF10,,,
2103020607,7 PROGRAMA VIVIENDA ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,7.3 SUB PROGRAMA VIVIENDA URBANA Y RURAL EN EL MUNICIPIO DE CUMBAL ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+13,7.3.1 mejoramiento de la vivienda urbana y rural del municipio,D,INVERSION,38,1,C,C,,,,2.3.01.01.01.59,10,13,95,1,7066,7,1.10E+14,C2I,,,FF10,,,
