Cod. Pptal,Nombre Rubro,Tipo,Cod FUT,Fuentes Rec,Uni Eje,Sit Fondos,Cod CGR,Cod Recurso,OER,CDA,Vig. Gasto,Fin. Gasto,Uni Ejec,Ent Recip,Codigo SIA,Clase pago SIA,Banco Pagos
23020305,3.5 SUBPROGRAMA TRANSFERENCIAS PARA EL PLAN DEPART ,M,,,,,,,,,,,,,,,
2302030501,3.5.1 PLAN DEPARTAMENTAL DE AGUA POTABLE Y SANEAMI ,M,,,,,,,,,,,,,,,
230203050101,3.5.1.1 transferencia al pda nariño ,D,,,,S,2.3.01.01.01.13,10,047,021,2,7063,7,110000005222700,,,
230206,6 LIBRE INVERSION OTROS SECTORES ,M,,,,,,,,,,,,,,,
23020610,10 PROGRAMA AMBIENTAL ,M,,,,,,,,,,,,,,,
2302061001,101 SUB PROGRAMA ADQUISICIoN DE AREAS DE INTERES P ,M,,,,,,,,,,,,,,,
230206100109,101.9 adquisicion de predios de reserva hidrica y ,D,,,,C,2.3.01.01.02.01,10,047,017,2,7056,7,110000005222700,,,
2303,C3 INVERSION RECURSOS PROPIOS DE DESTINACION ESPEC ,M,,,,,,,,,,,,,,,
230315,15 PROGRAMA EQUIPAMIENTO MUNICIPAL ,M,,,,,,,,,,,,,,,
23031517,17 PROGRAMA FORTALECIMIENTO INSTITUCIONAL ,M,,,,,,,,,,,,,,,
2303151705,175 SUBPROGRAMA ACUERDOS DE PAGO DE PASIVOS ,M,,,,,,,,,,,,,,,
230315170504,17.5.4 fondo municipal de pensiones financiado con ,D,,,,C,2.1.03.02.03.01,10,047,105,2,70131,7,110000005222700,,,
2305,C5 INVERSION RECURSOS DE DESTINACION ESPECIFICA CO ,M,,,,,,,,,,,,,,,
230501,1 PROGRAMA EDUCACION ,M,,,,,,,,,,,,,,,
23050102,1.2 SUB PROGRAMA CALIDAD EDUCATIVA ,M,,,,,,,,,,,,,,,
2305010203,1.2.3 PROGRAMAS DE MANTENIMIENTO Y MEJORAMIENTO DE ,M,,,,,,,,,,,,,,,
230501020306,Fnr – 0020061160000 aumento de la cobertura m ,D,,,,S,2.3.01.01.01.49,10,047,002,2,70443,7,110000005222700,,,
2306,C6 FONDO LOCAL DE SALUD ,M,,,,,,,,,,,,,,,
230602,2 PROGRAMA SALUD ,M,,,,,,,,,,,,,,,
23060201,21 SUB PROGRAMA ReGIMEN SUBSIDIADO ,M,,,,,,,,,,,,,,,
2306020103,2.1.3 regimen subsidiado financiado con fosyga ,D,,,,C,2.3.03.02.57,10,047,015,2,70768,7,110000005222700,,,
2306020104,2.1.4 regimen subsidiado financiado con etesa ,D,,,,C,2.3.03.02.57,10,047,015,2,70768,7,110000005222700,,,
2306020105,2.1.5 regimen subsidiado financiado con recursos d ,D,,,,C,2.3.03.02.57,10,047,015,2,70768,7,110000005222700,,,
2306020106,2.1.6 regimen subsidiado financiado por sistema ge ,D,,,,C,2.3.03.02.57,10,047,015,2,70768,7,110000005222700,,,
23060202,22 SUBPROGRAMA SALUD PÙBLICA ,M,,,,,,,,,,,,,,,
2306020201,2.2.1 plan territorial de salud publica con sgp ,D,,,,C,2.3.03.02.61,10,047,011,2,7074,7,110000005222700,,,
2306020202,2.2.2 actividades de salud publica con recursos de ,D,,,,C,2.3.03.02.61,10,047,011,2,7074,7,110000005222700,,,
2306020203,2.2.3 plan territorial de salud publica con sgp vi ,D,,,,S,2.3.03.02.61,10,047,011,2,7074,7,110000005222700,,,
23060203,23 SUBPROGRAMA ATENCIoN A LA POBLACIoN POBRE NO AS ,M,,,,,,,,,,,,,,,
2306020301,2.3.1 atencion a la poblacion pobre no asegurada c ,D,,,,C,2.3.03.02.61,10,047,016,2,7074,7,110000005222700,,,
23060204,2.4 OTROS GASTOS EN SALUD ,M,,,,,,,,,,,,,,,
2306020406,2.4.6.1 GASTOS DE PERSONAL ,M,,,,,,,,,,,,,,,
230602040601,2.4.6.1 GASTOS DE PERSONAL ,M,,,,,,,,,,,,,,,
23060204060101,2.4.6.1.1 SERVICIOS PERSONALES ASOCIADOS A LA NOMI ,M,,,,,,,,,,,,,,,
2306020406010111,2.4.6.1.11 servicios personales asociados a la nom ,D,,,,S,2.1.01.01.01,10,047,010,2,70111,7,110000005222700,,,
2306020406010125,2.4.6.2.5 actividades de salud publica convenio 20 ,D,,,,C,2.3.03.02.61,10,047,011,2,7074,7,110000005222700,,,
23060204060104,2.4.6.1.4 CONTRIBUCIONES INHERENTES A LA NOMINA ,M,,,,,,,,,,,,,,,
2306020406010402,2.4.6.1.4.2 AL SECTOR PRIVADO ,M,,,,,,,,,,,,,,,
230602040601040201,2.4.6.1.4.2.1 APORTES DE PREVISIoN SOCIAL ,M,,,,,,,,,,,,,,,
23060204060104020102,2.4.6.1.4.2.1.2 aportes para pension ,D,,,,C,2.1.01.03.03.01.03,10,047,001,2,70131,7,110000005222700,,,
23060204060104020103,2.4.6.1.4.2.1.3 aportes arp ,D,,,,S,2.1.01.03.03.02,10,047,001,2,70131,7,110000005222700,,,
2306020406010403,2.4.6.1.4.3 APORTES PARAFISCALES ,M,,,,,,,,,,,,,,,
230602040601040301,2.4.6.1.4.3.1 sena ,D,,,,C,2.1.01.03.01.03.01,10,047,001,2,70131,7,110000005222700,,,
230602040601040302,2.4.6.1.4.3.2 icbf ,D,,,,S,2.1.01.03.01.03.03,10,047,001,2,70131,7,110000005222700,,,
230602040601040303,2.4.6.1.4.3.3 esap ,D,,,,S,2.1.01.03.01.03.05,10,047,001,2,70131,7,110000005222700,,,
230602040601040304,2.4.6.1.4.3.4 cajas de compensacion familiar ,D,,,,S,2.1.01.03.03.03,10,047,001,2,70131,7,110000005222700,,,
230602040601040305,2.4.6.1.4.3.5 institutos tecnicos ,D,,,,S,2.1.01.03.01.03.07,10,047,001,2,70131,7,110000005222700,,,
25,INVERSION DE RECURSOS ESPECIALES ,M,,,,,,,,,,,,,,,
2502,INVERSION CON RECUROS DE COFINANCIACION ,M,,,,,,,,,,,,,,,
250203,construccion losa patio principal Institucion Educ ,D,,,,C,2.3.01.01.01.49,10,047,002,2,70443,7,110000005222700,,,
250207,mantenimiento de las vias cumbal chiles y guaire ,D,,,,C,2.3.01.01.03.33,10,047,039,2,70443,7,110000005222700,,,
28,INVERSION CON RECURSOS QUE FINANCIAN RESERVAS PRES ,M,,,,,,,,,,,,,,,
2801,CON RECURSOS DE SGP ,M,,,,,,,,,,,,,,,
280101,SECTOR SALUD ,M,,,,,,,,,,,,,,,
28010101,ReGIMEN SUBSIDIADO ,M,,,,,,,,,,,,,,,
2801010102,mallamas epsi ,D,,,,C,2.3.03.02.57,10,047,015,2,70768,7,110000005222700,,,
2802,CON OTROS RECURSOS DE FORZOSA INVERSION DIFERENTES ,M,,,,,,,,,,,,,,,
280201,SECTOR SALUD ,M,,,,,,,,,,,,,,,
28020102,ReGIMEN SUBSIDIADO CON RECURSOS FOSYGA ,M,,,,,,,,,,,,,,,
2802010201,emssanar ess ,D,,,,C,2.3.03.02.57,10,047,015,2,70768,7,110000005222700,,,
2802010203,asmet salud ,D,,,,C,2.3.03.02.57,10,047,015,2,70768,7,110000005222700,,,
2802010204,emssanar ess ,D,,,,C,2.3.03.02.57,10,047,015,2,70768,7,110000005222700,,,
2802010205,mallamas epsi ,D,,,,C,2.3.03.02.57,10,047,015,2,70768,7,110000005222700,,,
