7.0;TRANSFERENCIAS Y APORTES MUNICIPALES;FUNCIONAMIENTO
8.0;TRANSFERENCIAS Y APORTES DEPARTAMENTALES;FUNCIONAMIENTO
9.0;REGALÍAS Y COMPENSACIONES;FUNCIONAMIENTO
10.0;IMPUESTO DE TRANSPORTE POR OLEODUCTOS Y GASODUCTOS;FUNCIONAMIENTO
11.0;RECURSOS DEL BALANCE;FUNCIONAMIENTO
12.0;RENDIMIENTOS FINANCIEROS LIBRE DESTINACIÓN;FUNCIONAMIENTO
13.0;RENDIMIENTOS FINANCIEROS FORZOSA INVERSIÓN;FUNCIONAMIENTO
14.0;CUOTAS PARTES PENSIONALES TRANSFERIDAS POR OTRAS ENTIDADES;FUNCIONAMIENTO
15.0;ESTAMPILLAS;FUNCIONAMIENTO
16.0;SOBRETASA O PARTICIPACION AMBIENTAL;FUNCIONAMIENTO
17.0;VENTA DE ACTIVOS;FUNCIONAMIENTO
18.0;SOBRETASA BOMBERIL;FUNCIONAMIENTO
19.0;VENTA DE BIENES Y SERVICIOS;FUNCIONAMIENTO
20.0;REGISTRO Y ANOTACIÓN;FUNCIONAMIENTO
21.0;SOBRETASA A LA GASOLINA;FUNCIONAMIENTO
31.0;OTRAS FUENTES DIFERENTES A LAS ANTERIORES;FUNCIONAMIENTO
32.0;NO APLICA;FUNCIONAMIENTO
