TI.A.1.29;IMPUESTO SOBRE EL SERVICIO DE ALUMBRADO PÚBLICO
TI.A.1.3;IMPUESTO PREDIAL UNIFICADO
TI.A.1.3.1;IMPUESTO PREDIAL UNIFICADO VIGENCIA ACTUAL
TI.A.1.3.2;IMPUESTO PREDIAL UNIFICADO VIGENCIA ANTERIORES
TI.A.1.3.3;COMPENSACIÓN PREDIAL POR RESGUARDOS INDÍGENAS VIGENCIA ACTUAL
TI.A.1.3.4;COMPENSACIÓN PREDIAL POR RESGUARDOS INDÍGENAS VIGENCIA ANTERIOR
TI.A.1.3.5;PARTICIPACIÓN CON DESTINACIÓN AMBIENTAL VIGENCIA ACTUAL 
TI.A.1.3.6;PARTICIPACIÓN CON DESTINACIÓN AMBIENTAL VIGENCIA ANTERIOR 
TI.A.1.30;CONTRIBUCIÓN SOBRE CONTRATOS DE OBRAS PÚBLICAS
TI.A.1.31;IMPUESTO DE TRANSPORTE POR OLEODUCTOS Y GASODUCTOS
TI.A.1.33;OTROS INGRESOS TRIBUTARIOS
TI.A.1.4;SOBRETASA AMBIENTAL 
TI.A.1.4.1;SOBRETASA AMBIENTAL VIGENCIA ACTUAL
TI.A.1.4.1.1;CON DESTINO A LA CORPORACIÓN AMBIENTAL (SÓLO MUNICIPIOS QUE ADOPTEN SOBRETASA)
TI.A.1.4.1.2;CON DESTINO AL ÁREA METROPOLITANA (SÓLO MUNICIPIOS QUE ADOPTEN SOBRETASA)
TI.A.1.4.1.3;SOBRETASA ESPECIAL PARA EL DISTRITO DE CARTAGENA (VIGENTE LEY 15/ 1961)
TI.A.1.4.1.4;SOBRETASA PARA INVERSIÓN EN CEDELCA (SOLO MUNICIPIOS DEL DEPTO DEL CAUCA)
TI.A.1.4.2;SOBRETASA AMBIENTAL VIGENCIAS ANTERIORES
TI.A.1.4.2.1;CON DESTINO A LA CORPORACIÓN AMBIENTAL (SÓLO MUNICIPIOS QUE ADOPTEN SOBRETASA)
TI.A.1.4.2.2;CON DESTINO AL ÁREA METROPOLITANA (SÓLO MUNICIPIOS QUE ADOPTEN SOBRETASA)
TI.A.1.4.2.3;SOBRETASA ESPECIAL PARA EL DISTRITO DE CARTAGENA (VIGENTE LEY 15/ 1961)
TI.A.1.4.2.4;SOBRETASA PARA INVERSIÓN EN CEDELCA (SOLO MUNICIPIOS DEL DEPTO DEL CAUCA)
TI.A.1.5;IMPUESTO DE INDUSTRIA Y COMERCIO 
TI.A.1.5.1;IMPUESTO DE INDUSTRIA Y COMERCIO DE LA VIGENCIA ACTUAL
TI.A.1.5.2;IMPUESTO DE INDUSTRIA Y COMERCIO DE LA VIGENCIA ANTERIOR
TI.A.1.6;AVISOS Y TABLEROS
TI.A.1.6.1;AVISOS Y TABLEROS VIGENCIA ACTUAL
TI.A.1.6.2;AVISOS Y TABLEROS VIGENCIAS ANTERIORES
TI.A.1.7;PUBLICIDAD EXTERIOR VISUAL
TI.A.1.8;IMPUESTO DE DELINEACIÓN
TI.A.1.9;IMPUESTO DE ESPECTÁCULOS PÚBLICOS NACIONAL CON DESTINO AL DEPORTE 
TI.A.2;NO TRIBUTARIOS
TI.A.2.1;TASAS Y DERECHOS
TI.A.2.1.1;PEAJES
TI.A.2.1.10;PUBLICACIONES
TI.A.2.1.11;DERECHOS DE EXPLOTACIÓN DE JUEGOS DE SUERTE Y AZAR
TI.A.2.1.11.1;RIFAS
TI.A.2.1.11.2;JUEGO DE LOTERÍAS
TI.A.2.1.11.3;JUEGOS DE APUESTAS PERMANENTES O CHANCE
TI.A.2.1.11.4;JUEGOS DE SUERTE Y AZAR PROMOCIONALES
TI.A.2.1.11.5;JUEGOS DE SUERTE Y AZAR LOCALIZADOS
TI.A.2.1.11.6;JUEGOS DE APUESTAS EN EVENTOS DEPORTIVOS, GALLÍSTICOS, CANINOS Y SIMILARES
TI.A.2.1.11.7;JUEGO DE APUESTAS EN EVENTOS HÍPICOS
TI.A.2.1.11.8;JUEGOS DE SUERTE Y AZAR NOVEDOSOS
TI.A.2.1.12;OTRAS TASAS (DESAGREGAR O ESPECIFICAR)
TI.A.2.1.2;PEAJE TURÍSTICO
TI.A.2.1.3;TASAS POR EL DERECHO DE PARQUEO SOBRE LAS VÍAS PÚBLICAS
TI.A.2.1.7;CONTRAPRESTACIÓN POR CONCEPTO DEL USO Y GOCE TEMPORAL Y EXCLUSIVO DE LAS ZONAS DE USO PÚBLICO-MUNICIPIOS PORTUARIOS MARÍTIMOS
TI.A.2.1.8;TASAS RETRIBUTIVAS Y COMPENSATORIAS (MUNICIPIOS DE MÁS DE UN MILLÓN DE HABITANTES)
TI.A.2.1.9;RECURSOS LOCALES PARA PROYECTOS DE INFRAESTRUCTURA VIAL Y DE TRANSPORTE (ART.. 112 LEY 812 DE 2003)
TI.A.2.1.9.1;CONTRIBUCIONES O GRAVÁMENES 
TI.A.2.1.9.2;DERECHOS DE TRÁNSITO EN ÁREAS RESTRINGIDAS O DE ALTA CONGESTIÓN
TI.A.2.1.9.3;ESTACIONAMIENTO EN ESPACIO PÚBLICO O EN LOTES DE PARQUEO
TI.A.2.1.9.4;TASA CONTRIBUTIVA POR CONTAMINACIÓN VEHICULAR
TI.A.2.2;MULTAS Y SANCIONES
TI.A.2.2.1;TRÁNSITO Y TRANSPORTE
TI.A.2.2.2;MULTAS DE CONTROL FISCAL
TI.A.2.2.3;MULTAS DE CONTROL DISCIPLINARIO
TI.A.2.2.4;MULTAS DE GOBIERNO 
TI.A.2.2.4.1;NO REGISTRO DE MARCAS Y HERRETES
TI.A.2.2.4.2;MULTAS ESTABLECIDAS EN EL CÓDIGO NACIONAL DE POLICÍA
TI.A.2.2.4.3;MULTAS ESTABLECIMIENTOS DE COMERCIO 
TI.A.2.2.4.4;SANCIONES URBANÍSTICAS 
TI.A.2.2.4.5;OTRAS MULTAS DE GOBIERNO
TI.A.2.2.5;INTERESES MORATORIOS
TI.A.2.2.5.1;PREDIAL
TI.A.2.2.5.10;OTROS INTERESES DE ORIGEN NO TRIBUTARIO
TI.A.2.2.5.2;SOBRETASA AMBIENTAL
TI.A.2.2.5.3;INDUSTRIA Y COMERCIO 
TI.A.2.2.5.4;SOBRETASA A LA GASOLINA
TI.A.2.2.5.5;VEHÍCULOS AUTOMOTORES
TI.A.2.2.5.9;OTROS INTERESES DE ORIGEN TRIBUTARIO
TI.A.2.2.6;SANCIONES TRIBUTARIAS
TI.A.2.2.6.1;PREDIAL
TI.A.2.2.6.2;INDUSTRIA Y COMERCIO 
TI.A.2.2.6.3;SOBRETASA A LA GASOLINA
TI.A.2.2.6.4;VEHÍCULOS AUTOMOTORES
TI.A.2.2.6.8;OTRAS SANCIONES TRIBUTARIAS 
TI.A.2.2.7;OTRAS MULTAS Y SANCIONES
TI.A.2.3;CONTRIBUCIONES
TI.A.2.3.1;CONTRIBUCIÓN DE VALORIZACIÓN
TI.A.2.3.1.1;CONTRIBUCIÓN DE VALORIZACIÓN VIGENCIA ACTUAL
TI.A.2.3.1.2;CONTRIBUCIÓN DE VALORIZACIÓN VIGENCIAS ANTERIORES
TI.A.2.3.2;PARTICIPACIÓN EN LA PLUSVALÍA
TI.A.2.3.4;OTRAS CONTRIBUCIONES
TI.A.2.4;VENTA DE BIENES Y SERVICIOS
TI.A.2.4.1;ACUEDUCTO
TI.A.2.4.10;OTROS INGRESOS DE VENTA DE BIENES Y SERVICIOS DIFERENTE A LA VENTA DE ACTIVOS
TI.A.2.4.2;ALCANTARILLADO
TI.A.2.4.3;ASEO
TI.A.2.4.4;PLAZA DE MERCADO
TI.A.2.4.5;PLAZA DE FERIAS
TI.A.2.4.6;MATADERO PÚBLICO
TI.A.2.4.7;SERVICIOS EDUCATIVOS
TI.A.2.4.8;SERVICIOS DE SALUD Y PREVISIÓN SOCIAL
TI.A.2.4.9;SERVICIOS DE TRANSITO Y TRASPORTE
TI.A.2.5;RENTAS CONTRACTUALES
TI.A.2.5.1;ARRENDAMIENTOS
TI.A.2.5.2;ALQUILER DE MAQUINARIA Y EQUIPOS
TI.A.2.5.3;OTRAS RENTAS CONTRACTUALES
TI.A.2.6;TRASFERENCIAS
TI.A.2.6.1;TRANSFERENCIAS DE LIBRE DESTINACIÓN
TI.A.2.6.1.1;DEL NIVEL NACIONAL
TI.A.2.6.1.1.1;SGP: LIBRE DESTINACIÓN DE PARTICIPACIÓN DE PROPÓSITO GENERAL MUNICIPIOS CATEGORÍAS 4, 5 Y 6
TI.A.2.6.1.1.2;EMPRESA TERRITORIAL PARA LA SALUD ETESA (MÁXIMO EL 25 % EN LOS TÉRMINOS DEL ART. 60 DE LA LEY 715)
TI.A.2.6.1.1.5;IMPUESTO NACIONAL A LA EXPLOTACIÓN DE ORO, PLATA Y PLATINO
TI.A.2.6.1.1.7;OTRAS TRANSFERENCIAS DEL NIVEL CENTRAL NACIONAL PARA FUNCIONAMIENTO
TI.A.2.6.1.2;DEL NIVEL DEPARTAMENTAL
TI.A.2.6.1.2.1;DE VEHÍCULOS AUTOMOTORES
TI.A.2.6.1.2.2;DEGÜELLO GANADO MAYOR (EN LOS TÉRMINOS QUE LO DEFINA LA ORDENANZA)
TI.A.2.6.1.2.5;OTRAS TRANSFERENCIAS DEL NIVEL DEPARTAMENTAL
TI.A.2.6.1.2.6;TRANSFERENCIA DEL DEPARTAMENTO DE SAN ANDRÉS (SOLO APLICA PARA PROVIDENCIA)
TI.A.2.6.1.3;CUOTA DE FISCALIZACIÓN
TI.A.2.6.1.3.1;PROVENIENTE DE EMPRESAS INDUSTRIALES Y COMERCIALES, SOCIALES DEL ESTADO Y DE SERVICIOS PUBLICOS
TI.A.2.6.1.3.2;PROVENIENTES DE ESTABLECIMIENTOS PÚBLICOS
TI.A.2.6.1.3.3;DE OTRAS ENTIDADES
TI.A.2.6.1.4;TRANSFERENCIAS DE OTRAS ENTIDADES PARA PAGO DE PENSIONES
TI.A.2.6.1.5;CUOTAS PARTES PENSIONALES
TI.A.2.6.1.6;TRANSFERENCIA SECTOR ELÉCTRICO (SOLO EL 10% AUTORIZADO PARA LIBRE DESTINACIÓN)
TI.A.2.6.1.6.1;EMPRESAS DEL ORDEN NACIONAL
TI.A.2.6.1.6.2;EMPRESAS DEL ORDEN DEPARTAMENTAL 
TI.A.2.6.1.6.3;EMPRESAS DEL ORDEN MUNICIPAL
TI.A.2.6.1.6.4;OTROS
TI.A.2.6.2;TRASFERENCIAS PARA INVERSIÓN
TI.A.2.6.2.1;DEL NIVEL NACIONAL
TI.A.2.6.2.1.1;SISTEMA GENERAL DE PARTICIPACIONES
TI.A.2.6.2.1.1.1;SISTEMA GENERAL DE PARTICIPACIONES -EDUCACIÓN
TI.A.2.6.2.1.1.1.1;S. G. P. EDUCACIÓN - PRESTACIÓN DE SERVICIOS
TI.A.2.6.2.1.1.1.2;S. G. P. EDUCACIÓN - CANCELACIONES
TI.A.2.6.2.1.1.1.4;S. G. P. EDUCACIÓN -RECURSOS DE CALIDAD
TI.A.2.6.2.1.1.1.4.1;CALIDAD POR MATRÍCULA
TI.A.2.6.2.1.1.1.4.2;CALIDAD POR GRATUIDAD
TI.A.2.6.2.1.1.2;SISTEMA GENERAL DE PARTICIPACIONES -SALUD-
TI.A.2.6.2.1.1.2.1;S. G. P. SALUD - RÉGIMEN SUBSIDIADO
TI.A.2.6.2.1.1.2.1.1;S. G. P. SALUD - RÉGIMEN SUBSIDIADO CONTINUIDAD
TI.A.2.6.2.1.1.2.1.2;S. G. P. SALUD - RÉGIMEN SUBSIDIADO AMPLIACIÓN COBERTURA
TI.A.2.6.2.1.1.2.2;S. G. P. SALUD - SALUD PUBLICA
TI.A.2.6.2.1.1.2.3;S. G. P. SALUD - COMPLEMENTO PRESTACIÓN DE SERVICIOS A POBLACIÓN POBRE NO AFILIADA
TI.A.2.6.2.1.1.2.4;S. G. P. SALUD - APORTES PATRONALES (SIN SITUACIÓN DE FONDOS) (MUNICIPIOS CERTIFICADOS)
TI.A.2.6.2.1.1.3;SISTEMA GENERAL DE PARTICIPACIONES RÍO GRANDE DE LA MAGDALENA
TI.A.2.6.2.1.1.4;SISTEMA GENERAL DE PARTICIPACIONES ALIMENTACIÓN ESCOLAR
TI.A.2.6.2.1.1.5;PARTICIPACIÓN PARA  AGUA POTABLE Y SANEAMIENTO BÁSICO
TI.A.2.6.2.1.1.6;S.G.P. POR CRECIMIENTO DE LA ECONOMÍA
TI.A.2.6.2.1.1.6.1;PRIMERA INFANCIA
TI.A.2.6.2.1.1.6.2;EDUCACIÓN
TI.A.2.6.2.1.1.7;SISTEMA GENERAL FORZOSA INVERSIÓN DE PARTICIPACIÓN PROPÓSITO GENERAL
TI.A.2.6.2.1.1.7.1;DEPORTE Y RECREACIÓN
TI.A.2.6.2.1.1.7.2;CULTURA
TI.A.2.6.2.1.1.7.3;LIBRE INVERSIÓN MENORES DE 25000 HABITANTES
TI.A.2.6.2.1.1.7.4;RESTO LIBRE INVERSIÓN
TI.A.2.6.2.1.3;FONDO DE SOLIDARIDAD Y GARANTÍAS -FOSYGA-
TI.A.2.6.2.1.4;EMPRESA TERRITORIAL PARA LA SALUD -ETESA -75 % - INVERSIÓN EN SALUD, ART.. 60 DE LA LEY 715/2001
TI.A.2.6.2.1.7;REGALÍAS Y COMPENSACIONES
TI.A.2.6.2.1.7.1;REGALÍAS POR HIDROCARBUROS PETRÓLEO Y GAS
TI.A.2.6.2.1.7.2;REGALÍAS POR CARBÓN
TI.A.2.6.2.1.7.3;REGALÍAS POR NÍQUEL, HIERRO, COBRE Y DEMÁS MINERALES METÁLICOS
TI.A.2.6.2.1.7.4;REGALÍAS POR ORO, PLATA, PLATINO Y PIEDRAS PRECIOSAS
TI.A.2.6.2.1.7.5;REGALÍAS POR CALIZAS, YESOS, ARCILLAS, GRAVAS , MINERALES NO METÁLICOS Y MATERIALES DE CONSTRUCCIÓN
TI.A.2.6.2.1.7.6;REGALÍAS POR SAL
TI.A.2.6.2.1.8;OTRAS TRANSFERENCIAS DEL NIVEL NACIONAL PARA INVERSIÓN
TI.A.2.6.2.1.8.1;EN SALUD
TI.A.2.6.2.1.8.2;EN EDUCACIÓN
TI.A.2.6.2.1.8.3;EN OTROS SECTORES
TI.A.2.6.2.2;DEL NIVEL DEPARTAMENTAL
TI.A.2.6.2.2.4;OTRAS TRANSFERENCIAS DEL NIVEL DEPARTAMENTAL PARA INVERSIÓN
TI.A.2.6.2.3;TRANSFERENCIA SECTOR ELÉCTRICO 90% PARA INVERSIÓN
TI.A.2.6.2.3.1;EMPRESAS DEL ORDEN NACIONAL
TI.A.2.6.2.3.2;EMPRESAS DEL ORDEN DEPARTAMENTAL 
TI.A.2.6.2.3.3;EMPRESAS DEL ORDEN MUNICIPAL
TI.A.2.6.2.3.4;OTROS
TI.A.2.6.2.4;DEL NIVEL MUNICIPAL
TI.A.2.6.2.5;SECTOR DESCENTRALIZADO
TI.A.2.6.2.5.1;NACIONAL
TI.A.2.6.2.5.2;DEPARTAMENTAL
TI.A.2.6.2.5.3;MUNICIPAL
TI.A.2.6.2.6;SECTOR PRIVADO
TI.A.2.7;OTROS INGRESOS NO TRIBUTARIOS
TI.A.2.7.1;OPERACIONES COMERCIALES
TI.A.2.7.3;OTROS
TI.B;INGRESOS DE CAPITAL
TI.B.1;COFINANCIACIÓN
TI.B.1.1;COFINANCIACIÓN NACIONAL - NIVEL CENTRAL
TI.B.1.1.1;PROGRAMAS DE SALUD
TI.B.1.1.2;PROGRAMAS DE EDUCACIÓN
TI.B.1.1.3;PROGRAMAS DE AGUA POTABLE Y SANEAMIENTO BÁSICO
TI.B.1.1.4;PROGRAMAS DE INFRAESTRUCTURA
TI.B.1.1.5;PROGRAMAS OTROS SECTORES
TI.B.1.2;COFINANCIACIÓN DEPARTAMENTAL - NIVEL CENTRAL
TI.B.1.2.1;PROGRAMAS DE SALUD
TI.B.1.2.2;PROGRAMAS DE EDUCACIÓN
TI.B.1.2.3;PROGRAMAS DE AGUA POTABLE Y SANEAMIENTO BÁSICO
TI.B.1.2.4;PROGRAMAS DE INFRAESTRUCTURA
TI.B.1.2.5;PROGRAMAS OTROS SECTORES
TI.B.1.3;COFINANCIACIÓN MUNICIPAL - NIVEL CENTRAL
TI.B.1.3.1;PROGRAMAS DE SALUD
TI.B.1.3.2;PROGRAMAS DE EDUCACIÓN
TI.B.1.3.3;PROGRAMAS DE AGUA POTABLE Y SANEAMIENTO BÁSICO
TI.B.1.3.4;PROGRAMAS DE INFRAESTRUCTURA
TI.B.1.3.5;PROGRAMAS OTROS SECTORES
TI.B.1.4;OTRAS COFINANCIACIONES
TI.B.1.4.1;SECTOR DESCENTRALIZADO
TI.B.1.4.1.1;NACIONAL
TI.B.1.4.1.1.1;DE ESTABLECIMIENTOS PÚBLICOS
TI.B.1.4.1.1.3;DE EMPRESAS
TI.B.1.4.1.2;DEPARTAMENTAL
TI.B.1.4.1.3;MUNICIPAL
TI.B.1.4.1.4;SECTOR PRIVADO
TI.B.10;DESAHORRO FONPET
TI.B.10.3;DESAHORRO FONPET - CON Y SIN SITUACION DE FONDOS
TI.B.11;UTILIDADES Y EXCEDENTES FINANCIEROS (EMPRESAS INDUSTRIALES, COMERCIALES Y ESTABLECIMIENTOS PÚBLICOS)
TI.B.12;REDUCCIÓN DE CAPITAL DE EMPRESAS
TI.B.13;REINTEGROS
TI.B.14;OTROS INGRESOS DE CAPITAL
TI.B.2;REGALÍAS INDIRECTAS
TI.B.2.1;FONDO NACIONAL DE REGALÍAS -FNR-
TI.B.2.2;FONDO DE AHORRO Y ESTABILIZACIÓN PETROLERA. LEY 781 DE 2002
TI.B.2.3;FONDOS CÓRDOBA Y SUCRE
TI.B.2.4;ESCALONAMIENTO
TI.B.4;RECURSOS DEL CRÉDITO
TI.B.4.1;INTERNO
TI.B.4.1.1;FINDETER
TI.B.4.1.2;FONADE
TI.B.4.1.3;INSTITUTOS DE DESARROLLO DEPARTAMENTAL Y/O MUNICIPAL
TI.B.4.1.4;BANCA COMERCIAL PUBLICA
TI.B.4.1.5;BANCA COMERCIAL PRIVADA
TI.B.4.1.6;TÍTULOS DE DEUDA PUBLICA
TI.B.4.1.7;CRÉDITO DE LA NACIÓN SUSCEPTIBLE DE CONDONACIÓN
TI.B.4.2;EXTERNO
TI.B.5;RECUPERACIÓN DE CARTERA (DIFERENTES A TRIBUTARIOS)
TI.B.5.1;POR CRÉDITOS CONCEDIDOS
TI.B.5.3;POR OTROS CONCEPTOS
TI.B.6;RECURSOS DEL BALANCE
TI.B.6.1;CANCELACIÓN DE RESERVAS
TI.B.6.1.1;DE REGALÍAS
TI.B.6.1.2;DE SGP
TI.B.6.1.3;DE OTROS
TI.B.6.2;SUPERÁVIT FISCAL
TI.B.6.2.1;SUPERÁVIT FISCAL DE LA VIGENCIA ANTERIOR
TI.B.6.2.1.1;RECURSOS DE LIBRE DESTINACIÓN 
TI.B.6.2.1.1.1;SGP PROPÓSITO GENERAL RECURSOS DE LIBRE DESTINACIÓN 42% MUNICIPIOS DE 4, 5 Y 6 CATEGORÍA.
TI.B.6.2.1.1.3;INGRESOS CORRIENTES DE LIBRE DESTINACIÓN DIFERENTES A LA PARTICIPACIÓN DE LIBRE DESTINACIÓN PROPÓSITO GENERAL
TI.B.6.2.1.2;RECURSOS DE FORZOSA INVERSIÓN (CON DESTINACIÓN ESPECIFICA)
TI.B.6.2.1.2.1;RECURSOS DE FORZOSA INVERSIÓN SGP (CON DESTINACIÓN ESPECÍFICA)
TI.B.6.2.1.2.1.1;RECURSOS DE FORZOSA INVERSIÓN - EDUCACIÓN
TI.B.6.2.1.2.1.2;RECURSOS DE FORZOSA INVERSIÓN - SALUD
TI.B.6.2.1.2.1.2.1;RECURSOS DE FORZOSA INVERSIÓN - SALUD: RÉGIMEN SUBSIDIADO
TI.B.6.2.1.2.1.2.2;RECURSOS DE FORZOSA INVERSIÓN - SALUD:  PÚBLICA
TI.B.6.2.1.2.1.2.3;RECURSOS DE FORZOSA INVERSIÓN - SALUD: PRESTACIÓN DEL SERVICIO A LA POBLACIÓN POBRE NO AFILIADA
TI.B.6.2.1.2.1.3;RECURSOS DE FORZOSA INVERSIÓN - ALIMENTACIÓN ESCOLAR
TI.B.6.2.1.2.1.4;RECURSOS DE FORZOSA INVERSIÓN - RIBEREÑOS
TI.B.6.2.1.2.1.5;PARTICIPACIÓN PARA AGUA POTABLE Y SANEAMIENTO BÁSICO
TI.B.6.2.1.2.1.6;RECURSOS DE FORZOSA INVERSIÓN - CRECIMIENTO DE LA ECONOMÍA
TI.B.6.2.1.2.1.6.1;PRIMERA INFANCIA
TI.B.6.2.1.2.1.6.2;EDUCACIÓN
TI.B.6.2.1.2.1.7;RECURSOS DE FORZOSA INVERSIÓN PROPÓSITO GENERAL
TI.B.6.2.1.2.1.7.1;DEPORTE Y RECREACIÓN
TI.B.6.2.1.2.1.7.3;CULTURA
TI.B.6.2.1.2.1.7.5;LIBRE INVERSIÓN MENORES DE 25000 HABITANTES
TI.B.6.2.1.2.1.7.7;RESTO LIBRE INVERSIÓN
TI.B.6.2.1.2.2;REGALÍAS Y COMPENSACIONES
TI.B.6.2.1.2.3;OTROS RECURSOS DE FORZOSA INVERSIÓN DIFERENTES AL SGP (CON DESTINACIÓN ESPECÍFICA)
TI.B.6.2.2;SUPERÁVIT FISCAL DE VIGENCIAS ANTERIORES NO INCORPORADO
TI.B.6.2.2.1;RECURSOS DE LIBRE DESTINACIÓN 
TI.B.6.2.2.1.1;SGP PROPÓSITO GENERAL RECURSOS DE LIBRE DESTINACIÓN 42% MUNICIPIOS DE 4, 5 Y 6 CATEGORÍA.
TI.B.6.2.2.1.3;INGRESOS CORRIENTES DE LIBRE DESTINACIÓN DIFERENTES A LA PARTICIPACIÓN DE LIBRE DESTINACIÓN PROPÓSITO GENERAL
TI.B.6.2.2.2;RECURSOS DE FORZOSA INVERSIÓN (CON DESTINACIÓN ESPECIFICA)
TI.B.6.2.2.2.1;RECURSOS DE FORZOSA INVERSIÓN SGP (CON DESTINACIÓN ESPECÍFICA)
TI.B.6.2.2.2.1.1;RECURSOS DE FORZOSA INVERSIÓN - EDUCACIÓN
TI.B.6.2.2.2.1.2;RECURSOS DE FORZOSA INVERSIÓN - SALUD
TI.B.6.2.2.2.1.2.1;RECURSOS DE FORZOSA INVERSIÓN - SALUD: RÉGIMEN SUBSIDIADO
TI.B.6.2.2.2.1.2.2;RECURSOS DE FORZOSA INVERSIÓN - SALUD:  PÚBLICA
TI.B.6.2.2.2.1.2.3;RECURSOS DE FORZOSA INVERSIÓN - SALUD: PRESTACIÓN DEL SERVICIO A LA POBLACIÓN POBRE NO AFILIADA
TI.B.6.2.2.2.1.3;RECURSOS DE FORZOSA INVERSIÓN - ALIMENTACIÓN ESCOLAR
TI.B.6.2.2.2.1.4;RECURSOS DE FORZOSA INVERSIÓN - RIBEREÑOS
TI.B.6.2.2.2.1.5;RECURSOS DE FORZOSA INVERSIÓN - AGUA POTABLE Y SANEAMIENTO BÁSICO
TI.B.6.2.2.2.1.6;RECURSOS DE FORZOSA INVERSIÓN - CRECIMIENTO DE LA ECONOMÍA
TI.B.6.2.2.2.1.6.1;PRIMERA INFANCIA
TI.B.6.2.2.2.1.6.2;EDUCACIÓN
TI.B.6.2.2.2.1.7;RECURSOS DE FORZOSA INVERSIÓN PROPÓSITO GENERAL
TI.B.6.2.2.2.1.7.1;DEPORTE Y RECREACIÓN
TI.B.6.2.2.2.1.7.3;CULTURA
TI.B.6.2.2.2.1.7.5;LIBRE INVERSIÓN MENORES DE 25.000 HABITANTES
TI.B.6.2.2.2.1.7.7;RESTO LIBRE INVERSIÓN
TI.B.6.2.2.2.2;REGALÍAS Y COMPENSACIONES
TI.B.6.2.2.2.3;OTROS RECURSOS DE FORZOSA INVERSIÓN DIFERENTES AL SGP (CON DESTINACIÓN ESPECÍFICA)
TI.B.6.3;RECURSOS QUE FINANCIAN RESERVAS PRESUPUESTALES EXCEPCIONALES (LEY 819/2003)
TI.B.6.3.1;RECURSOS DE LIBRE DESTINACIÓN 
TI.B.6.3.1.1;SGP PROPÓSITO GENERAL RECURSOS DE LIBRE DESTINACIÓN 42% MUNICIPIOS DE 4, 5 Y 6 CATEGORÍA.
TI.B.6.3.1.3;INGRESOS CORRIENTES DE LIBRE DESTINACIÓN DIFERENTES A LA PARTICIPACIÓN DE LIBRE DESTINACIÓN PROPÓSITO GENERAL
TI.B.6.3.2;RECURSOS DE FORZOSA INVERSIÓN (CON DESTINACIÓN ESPECIFICA)
TI.B.6.3.2.1;RECURSOS DE FORZOSA INVERSIÓN SGP (CON DESTINACIÓN ESPECÍFICA)
TI.B.6.3.2.1.1;RECURSOS DE FORZOSA INVERSIÓN - EDUCACIÓN
TI.B.6.3.2.1.2;RECURSOS DE FORZOSA INVERSIÓN - SALUD
TI.B.6.3.2.1.2.1;RECURSOS DE FORZOSA INVERSIÓN - SALUD: RÉGIMEN SUBSIDIADO
