1;TOTAL GASTOS DE FUNCIONAMIENTO 
1.3.1;MESADAS PENSIONALES
1.3.10;TRANSFERENCIA POR SOBRETASA ESPECIAL PARA EL DISTRITO DE CARTAGENA (VIGENTE LEY 15/ 1961)
1.3.11;TRANSFERENCIA POR SOBRETASA PARA INVERSIÓN EN CEDELCA (SOLO MUNICIPIOS DEL DEPTO DEL CAUCA )
1.3.12;FONDO NACIONAL DE PENSIONES TERRITORIALES FONPET
1.3.14;PAGOS A ORGANISMOS INTERNACIONALES NO CREDITICIOS
1.3.15;TRANSFERENCIA CUERPOS DE BOMBEROS
1.3.18;TRANSFERENCIA DE REGALÍAS DIRECTAS POR CONCEPTO DE EXPLOTACIÓN DE MATERIALES DE CONSTRUCCIÓN
1.3.18.1;A DEPARTAMENTOS PRODUCTORES 20%
1.3.18.2;A MUNICIPIOS O DISTRITOS PORTUARIOS 3%
1.3.18.3;AL FONDO NACIONAL DE REGALÍAS 10% Ó 13%
1.3.19;SENTENCIAS Y CONCILIACIONES
1.3.2;CUOTAS PARTES DE MESADA PENSIONAL
1.3.25;OTRAS TRANSFERENCIAS CORRIENTES
1.3.3;CAPITALIZACIÓN DE PATRIMONIOS AUTÓNOMOS PARA PROVISIÓN DE PENSIONES
1.3.4;PAGO DE BONOS PENSIONALES Y CUOTAS PARTES DE BONO PENSIONAL TIPO C Y E
1.3.4.1;CON SITUACIÓN DE FONDOS
1.3.4.2;SIN SITUACIÓN DE FONDOS
1.3.5;PAGO DE PENSIONES DE DOCENTES NACIONALIZADOS
1.3.6;TRANSFERENCIAS CORRIENTES: ESTABLECIMIENTOS PÚBLICOS Y ENTIDADES DESCENTRALIZADAS-NIVEL TERRITORIAL
1.3.6.1;A ESTABLECIMIENTOS PÚBLICOS
1.3.6.4;A UNIVERSIDADES PÚBLICAS
1.3.6.4.1;TRANSFERENCIA ARTÍCULO 86 LEY 30 DE 1993
1.3.6.4.4;TRANSFERENCIA DE CONCURRENCIAS PARA PAGO DE PASIVOS PENSIONALES Y PRESTACIONALES
1.3.6.4.6;OTRAS TRANSFERENCIAS CORRIENTES A UNIVERSIDADES PÚBLICAS
1.3.6.5;A OTRAS ENTIDADES DESCENTRALIZADAS
1.3.6.6;A ENTIDADES EN LIQUIDACIÓN
1.3.6.7;A OTRAS ENTIDADES
1.3.8;SOBRETASA AMBIENTAL -CORPORACIONES AUTÓNOMAS REGIONALES
1.3.9;SOBRETASA AMBIENTAL-A ÁREAS METROPOLITANAS
1.4;PAGO DÉFICIT DE FUNCIONAMIENTO
1.4.1;CAUSADO CON ANTERIORIDAD AL 31 DE DIC DE 2000
1.4.2;CAUSADO CON POSTERIORIDAD AL 31 DE DIC DE 2000
1.4.3;CAUSADO CON POSTERIORIDAD A LA FIRMA DE ACUERDO DE REESTRUCTURACIÓN DE PASIVOS-LEY 550 DE 1999
1.5;RESERVAS PRESUPUESTALES DE FUNCIONAMIENTO VIGENCIA ANTERIOR (LEY 819/03)
1.5.1;GASTOS DE PERSONAL
1.5.2;GASTOS GENERALES
1.5.3;TRANSFERENCIAS
1.8;TRANSFERENCIAS DE CAPITAL
1.9;COSTOS Y GASTOS ASOCIADOS A LA OPERACIÓN, PRODUCCIÓN Y COMERCIALIZACIÓN
1.9.1;GASTOS DE PERSONAL
1.9.1.1;SERVICIOS PERSONALES DIRECTOS
1.9.1.2;SERVICIOS PERSONALES INDIRECTOS
1.9.2;GASTOS GENERALES
1.9.2.1;CONSUMO DE INSUMOS DIRECTOS
1.9.2.2;MANTENIMIENTO Y REPARACIONES
1.9.2.3;SERVICIOS PÚBLICOS
1.9.2.4;SEGUROS
1.9.2.5;CONTRIBUCIONES, IMPUESTOS Y TASAS
1.9.2.6;ARRENDAMIENTOS
1.9.2.7;CONSUMO DE INSUMOS INDIRECTOS
1.9.2.8;OTROS GASTOS GENERALES DE OPERACIÓN, PRODUCCIÓN Y COMERCIALIZACIÓN
1.9.3;TRANSFERENCIAS CORRIENTES
1.9.4;BIENES COMERCIALIZADOS
VAL;CIFRAS DE CONTROL PARA LOS GASTOS DE FUNCIONAMIENTO 
A;TOTAL INVERSIÓN
A.1;EDUCACIÓN
A.1.1;COBERTURA
A.1.1.1;PAGO DE PERSONAL 
A.1.1.1.1;PERSONAL DOCENTE
A.1.1.1.2;PERSONAL DIRECTIVO - DOCENTE
A.1.1.1.3;PERSONAL ADMINISTRATIVO DE INSTITUCIONES EDUCATIVAS
A.1.1.1.4;ASCENSOS EN ESCALAFÓN
A.1.1.2;APORTES PATRONALES 
A.1.1.2.1;PERSONAL DOCENTE (SIN SITUACIÓN DE FONDOS)
A.1.1.2.1.1;APORTES DE PREVISIÓN SOCIAL 
A.1.1.2.1.1.1;APORTES PARA SALUD
A.1.1.2.1.1.2;APORTES PARA PENSIÓN
A.1.1.2.1.1.3;APORTES ARP
A.1.1.2.1.1.4;APORTES PARA CESANTÍAS
A.1.1.2.2;PERSONAL DOCENTE (CON SITUACIÓN DE FONDOS)
A.1.1.2.2.1;APORTES DE PREVISIÓN SOCIAL 
A.1.1.2.2.1.1;APORTES PARA SALUD
A.1.1.2.2.1.2;APORTES PARA PENSIÓN
A.1.1.2.2.1.3;APORTES ARP
A.1.1.2.2.1.4;APORTES PARA CESANTÍAS
A.1.1.2.2.2;APORTES PARAFISCALES 
A.1.1.2.2.2.1;SENA
A.1.1.2.2.2.2;ICBF
A.1.1.2.2.2.3;ESAP
A.1.1.2.2.2.4;CAJAS DE COMPENSACIÓN FAMILIAR
A.1.1.2.2.2.5;INSTITUTOS TÉCNICOS
A.1.1.2.3;PERSONAL DIRECTIVO - DOCENTE (SIN SITUACIÓN DE FONDOS)
A.1.1.2.3.1;APORTES DE PREVISIÓN SOCIAL 
A.1.1.2.3.1.1;APORTES PARA SALUD
A.1.1.2.3.1.2;APORTES PARA PENSIÓN
A.1.1.2.3.1.3;APORTES ARP
A.1.1.2.3.1.4;APORTES PARA CESANTÍAS
A.1.1.2.4;PERSONAL DIRECTIVO - DOCENTE (CON SITUACIÓN DE FONDOS)
A.1.1.2.4.1;APORTES DE PREVISIÓN SOCIAL 
A.1.1.2.4.1.1;APORTES PARA SALUD
A.1.1.2.4.1.2;APORTES PARA PENSIÓN
A.1.1.2.4.1.3;APORTES ARP
A.1.1.2.4.1.4;APORTES PARA CESANTÍAS
A.1.1.2.4.2;APORTES PARAFISCALES 
A.1.1.2.4.2.1;SENA
A.1.1.2.4.2.2;ICBF
A.1.1.2.4.2.3;ESAP
A.1.1.2.4.2.4;CAJAS DE COMPENSACIÓN FAMILIAR
A.1.1.2.4.2.5;INSTITUTOS TÉCNICOS
A.1.1.2.5;PERSONAL ADMINISTRATIVO DE INSTITUCIONES EDUCATIVAS
A.1.1.2.5.1;APORTES DE PREVISIÓN SOCIAL 
A.1.1.2.5.1.1;APORTES PARA SALUD
A.1.1.2.5.1.2;APORTES PARA PENSIÓN
A.1.1.2.5.1.3;APORTES ARP
A.1.1.2.5.1.4;APORTES PARA CESANTÍAS
A.1.1.2.5.2;APORTES PARAFISCALES 
A.1.1.2.5.2.1;SENA
A.1.1.2.5.2.2;ICBF
A.1.1.2.5.2.3;ESAP
A.1.1.2.5.2.4;CAJAS DE COMPENSACIÓN FAMILIAR
A.1.1.2.5.2.5;INSTITUTOS TÉCNICOS
A.1.1.3;CONTRATOS PARA LA PRESTACIÓN DEL SERVICIO EDUCATIVO 
A.1.1.4;CONTRATOS PARA LA ADMINISTRACIÓN DE LA PRESTACIÓN DEL SERVICIO EDUCATIVO
A.1.1.5;CONTRATACIÓN PARA EDUCACIÓN PARA JÓVENES Y ADULTOS
A.1.1.6;CONTRATACIÓN DE ASEO A LOS ESTABLECIMIENTOS EDUCATIVOS ESTATALES
A.1.1.7;CONTRATACIÓN DE VIGILANCIA A LOS ESTABLECIMIENTOS EDUCATIVOS ESTATALES
A.1.2;CALIDAD - MATRÍCULA
A.1.2.1;PREINVERSIÓN: ESTUDIOS, DISEÑOS, CONSULTORIAS, ASESORIAS E INTERVENTORIAS
A.1.2.10;ALIMENTACIÓN ESCOLAR
A.1.2.10.1;PRESTACIÓN DIRECTA DEL SERVICIO
A.1.2.10.1.1;COMPRA DE ALIMENTOS
A.1.2.10.1.2;MENAJE, DOTACIÓN Y SU REPOSICIÓN PARA LA PRESTACIÓN DEL SERVICIO DE ALIMENTACIÓN ESCOLAR 
A.1.2.10.1.3;CONTRATACIÓN DE PERSONAL PARA LA PREPARACIÓN DE ALIMENTOS 
A.1.2.10.1.4;TRANSPORTE DE ALIMENTOS 
A.1.2.10.1.5;ASEO Y COMBUSTIBLE PARA LA PREPARACIÓN DE LOS ALIMENTOS
A.1.2.10.2;CONTRATACIÓN CON TERCEROS PARA LA PROVISIÓN INTEGRAL DEL SERVICIO DE ALIMENTACIÓN ESCOLAR
A.1.2.11;DISEÑO E IMPLEMENTACIÓN DE PLANES DE MEJORAMIENTO
A.1.2.2;CONSTRUCCIÓN AMPLIACIÓN Y ADECUACIÓN DE INFRAESTRUCTURA EDUCATIVA
A.1.2.3;MANTENIMIENTO DE INFRAESTRUCTURA EDUCATIVA
A.1.2.4;DOTACIÓN INSTITUCIONAL DE INFRAESTRUCTURA EDUCATIVA
A.1.2.5;DOTACIÓN INSTITUCIONAL DE MATERIAL Y MEDIOS PEDAGÓGICOS PARA EL APRENDIZAJE
A.1.2.6;PAGO DE SERVICIOS PÚBLICOS DE LAS INSTITUCIONES EDUCATIVAS
A.1.2.6.1;ACUEDUCTO, ALCANTARILLADO Y ASEO
A.1.2.6.2;ENERGÍA
A.1.2.6.3;TELÉFONO
A.1.2.6.4;INTERNET
A.1.2.6.5;OTROS
A.1.2.7;TRANSPORTE ESCOLAR
A.1.2.8;CAPACITACIÓN A DOCENTES Y DIRECTIVOS DOCENTES
A.1.2.9;FUNCIONAMIENTO BÁSICO DE LOS ESTABLECIMIENTOS EDUCATIVOS ESTATALES
A.1.3;CALIDAD - GRATUIDAD
A.1.3.1;PREINVERSIÓN: ESTUDIOS, DISEÑOS, CONSULTORIAS, ASESORIAS E INTERVENTORIAS
A.1.3.2;CONSTRUCCIÓN AMPLIACIÓN Y ADECUACIÓN DE INFRAESTRUCTURA EDUCATIVA
A.1.3.3;MANTENIMIENTO DE INFRAESTRUCTURA EDUCATIVA
A.1.3.4;DOTACIÓN INSTITUCIONAL DE INFRAESTRUCTURA EDUCATIVA
A.1.3.5;DOTACIÓN INSTITUCIONAL DE MATERIAL Y MEDIOS PEDAGÓGICOS PARA EL APRENDIZAJE
A.1.3.6;TRANSPORTE ESCOLAR
A.1.3.7;FUNCIONAMIENTO BÁSICO DE LOS ESTABLECIMIENTOS EDUCATIVOS ESTATALES, EXCEPTO SERVICIOS PÚBLICOS
A.1.4;EFICIENCIA EN LA ADMINISTRACIÓN DEL SERVICIO EDUCATIVO
A.1.4.1;MODERNIZACIÓN DE LA SECRETARIA DE EDUCACIÓN
A.1.4.2;DISEÑO E IMPLEMENTACIÓN DEL SISTEMA DE INFORMACIÓN
A.1.4.3;CONECTIVIDAD
A.1.5;NECESIDADES EDUCATIVAS ESPECIALES
A.1.5.1;SERVICIO PERSONAL APOYO
A.1.5.2;FORMACIÓN DE DOCENTES
A.1.5.3;DOTACIÓN
A.1.5.4;MEJORAMIENTO DE CONDICIONES DE ACCECIBILIDAD DE INFRAESTRUCTURA EDUCATIVA  ESTATAL 
A.1.6;INTERNADOS
A.1.6.1;ALIMENTACIÓN
A.1.6.2;DOTACIÓN INSTITUCIONAL
A.1.6.3;ADECUACIÓN Y MEJORAMIENTO DE INFRAESTRUCTURA
A.1.7;OTROS GASTOS EN EDUCACIÓN NO INCLUIDOS EN LOS CONCEPTOS ANTERIORES
A.1.7.1;COMPETENCIAS LABORALES GENERALES Y FORMACIÓN PARA EL TRABAJO Y EL DESARROLLO HUMANO 
A.1.7.2;APLICACIÓN DE PROYECTOS EDUCATIVOS TRANSVERSALES
A.1.7.3;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.1.7.4;PAGO DE DÉFICIT DE INVERSIÓN EN EDUCACIÓN - (DE CARÁCTER EXCEPCIONAL)
A.10;AMBIENTAL
A.10.1;DESCONTAMINACIÓN DE CORRIENTES O DEPÓSITOS DE AGUA AFECTADOS POR VERTIMIENTOS 
A.10.10;ADQUISICIÓN DE ÁREAS DE INTERÉS PARA EL ACUEDUCTO MUNICIPAL (ART. 106 LEY 1151/07)
A.10.11;REFORESTACIÓN Y CONTROL DE EROSIÓN
A.10.13;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.10.14;MANEJO ARTIFICIAL DE CAUDALES (RECUPERACIÓN DE LA NAVEGABILIDAD DEL RÍO,  HIDROLOGÍA, MANEJO DE INUNDACIONES, CANAL NAVEGABLE Y ESTIAJE)
A.10.15;COMPRA DE TIERRAS PARA PROTECCIÓN DE MICROCUENCAS ASOCIADAS AL RÍO MAGDALENA
A.10.16;PAGO DE DÉFICIT DE INVERSIÓN EN AMBIENTE
A.10.2;DISPOSICIÓN, ELIMINACIÓN Y RECICLAJE DE RESIDUOS LÍQUIDOS Y SÓLIDOS 
A.10.3;CONTROL A LAS EMISIONES CONTAMINANTES DEL AIRE
A.10.4;MANEJO Y APROVECHAMIENTO DE CUENCAS Y MICROCUENCAS HIDROGRÁFICAS
A.10.5;CONSERVACIÓN DE MICROCUENCAS QUE ABASTECEN EL ACUEDUCTO, PROTECCIÓN DE FUENTES Y REFORESTACIÓN DE DICHAS CUENCAS
A.10.6;EDUCACIÓN AMBIENTAL NO FORMAL
A.10.7;ASISTENCIA TÉCNICA EN RECONVERSIÓN TECNOLÓGICA 
A.10.8;CONSERVACIÓN, PROTECCIÓN, RESTAURACIÓN Y APROVECHAMIENTO DE RECURSOS NATURALES Y DEL MEDIO AMBIENTE
A.10.9;ADQUISICIÓN DE PREDIOS DE RESERVA HÍDRICA Y ZONAS DE RESERVA NATURALES
A.11;CENTROS DE RECLUSIÓN
A.11.1;PREINVERSIÓN EN INFRAESTRUCTURA
A.11.10;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.11.11;PAGO DE DÉFICIT DE INVERSIÓN EN CENTROS DE RECLUSIÓN
A.11.2;CONSTRUCCIÓN DE INFRAESTRUCTURA CARCELARIA
A.11.3;MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA CARCELARIA
A.11.4;DOTACIÓN DE CENTROS CARCELARIOS
A.11.5;ALIMENTACIÓN PARA LAS PERSONAS DETENIDAS
A.11.6;TRANSPORTE DE RECLUSOS
A.11.7;EDUCACIÓN PARA LA REHABILITACIÓN SOCIAL
A.11.8;PAGO DEL PERSONAL DE LA GUARDIA PENITENCIARIA
A.12;PREVENCIÓN Y ATENCIÓN DE DESASTRES
A.12.1;ELABORACIÓN, DESARROLLO Y ACTUALIZACIÓN DE PLANES DE EMERGENCIA Y CONTINGENCIA
A.12.10;INVERSIONES EN INFRAESTRUCTURA FÍSICA PARA PREVENCIÓN Y REFORZAMIENTO ESTRUCTURAL.
A.12.11;DOTACIÓN DE MAQUINAS Y EQUIPOS PARA LOS CUERPOS DE BOMBEROS OFICIALES
A.12.12;CONTRATOS CELEBRADOS CON CUERPOS DE BOMBEROS PARA LA PREVENCIÓN Y CONTROL DE INCENDIOS
A.12.14;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.12.15;PAGO DE DÉFICIT DE INVERSIÓN EN PREVENCIÓN Y ATENCIÓN DE DESASTRES
A.12.16;ADQUISICIÓN DE BIENES E INSUMOS PARA LA ATENCIÓN DE LA POBLACIÓN AFECTADA POR DESASTRES    
A.12.17;INFRAESTRUCTURA DE DEFENSA CONTRA LAS INUNDACIONES
A.12.2;PREINVERSIÓN EN INFRAESTRUCTURA
A.12.3;ADECUACIÓN DE ÁREAS URBANAS Y RURALES EN ZONAS DE ALTO RIESGO
A.12.4;REUBICACIÓN DE ASENTAMIENTOS ESTABLECIDOS EN ZONAS DE ALTO RIESGO
A.12.5;MONITOREO, EVALUACIÓN Y ZONIFICACIÓN DE RIESGO PARA FINES DE PLANIFICACIÓN
A.12.6;ATENCIÓN DE DESASTRES
A.12.7;FORTALECIMIENTO DE LOS COMITÉS DE PREVENCIÓN Y ATENCIÓN DE DESASTRES
A.12.8;PREVENCIÓN, PROTECCIÓN Y CONTINGENCIA EN OBRAS DE INFRAESTRUCTURA ESTRATÉGICA
A.12.9;EDUCACIÓN PARA LA PREVENCIÓN Y ATENCIÓN DE DESASTRES
A.13;PROMOCIÓN DEL DESARROLLO
A.13.1;PROMOCIÓN DE ASOCIACIONES Y ALIANZAS PARA EL DESARROLLO EMPRESARIAL E INDUSTRIAL
A.13.10;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.13.11;PROYECTOS INTEGRALES DE CIENCIA, TECNOLOGÍA E INNOVACIÓN
A.13.12;PAGO DE DÉFICIT DE INVERSIÓN EN PROMOCIÓN DEL DESARROLLO
A.13.2;PROMOCIÓN DE CAPACITACIÓN PARA EMPLEO
A.13.3;FOMENTO Y APOYO A LA APROPIACIÓN DE TECNOLOGÍA EN PROCESOS EMPRESARIALES
A.13.4;ASISTENCIA TÉCNICA EN PROCESOS DE PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN Y ACCESO A FUENTES DE FINANCIACIÓN
A.13.5;PROMOCIÓN DEL DESARROLLO TURÍSTICO
A.13.6;CONSTRUCCIÓN, MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA FÍSICA
A.13.7;ADICCIÓN DE MAQUINARIA Y EQUIPO
A.13.8;FONDOS DESTINADOS A BECAS, SUBSIDIOS Y CRÉDITOS EDUCATIVOS UNIVERSITARIOS (LEY 1012 DE 2006)
A.14;ATENCIÓN A GRUPOS VULNERABLES - PROMOCIÓN SOCIAL
A.14.1;PROTECCIÓN INTEGRAL A LA PRIMERA INFANCIA
A.14.1.1;CONSTRUCCIÓN DE INFRAESTRUCTURA
A.14.1.2;ADECUACIÓN DE INFRAESTRUCTURA
A.14.1.5;PROGRAMA DE ATENCION INTEGRAL A LA PRIMERA INFANCIA -PAIPI
A.14.1.6;FORTALECIMIENTO DE LA RED DE FRIO DEL PROGRAMA AMPLIADO DE INMUNIZACIONES -PAI
A.14.1.7;DOTACIÓN DE MATERIAL PEDAGOGICO
A.14.10;ATENCIÓN Y APOYO A LOS GRUPOS AFROCOLOMBIANOS
A.14.11;ATENCIÓN Y APOYO AL PUEBLO ROM 
A.14.13;PROGRAMAS DISEÑADOS  PARA LA SUPERACIÓN DE LA POBREZA  EXTREMA EN EL MARCO DE LA RED JUNTOS - FAMILIAS EN ACCIÓN
A.14.13.1;TALENTO HUMANO QUE DESARROLLA FUNCIONES DE CARÁCTER OPERATIVO
A.14.13.2;ADQUISICIÓN DE INSUMOS, SUMINISTROS Y DOTACIÓN
A.14.15;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.14.16;PAGO DE DÉFICIT DE INVERSIÓN EN ATENCIÓN A GRUPOS VULNERABLES - PROMOCIÓN SOCIAL
A.14.17;ATENCIÓN Y APOYO A LA POBLACIÓN L.G.T.B.
A.14.17.1;CONSTRUCCIÓN DE INFRAESTRUCTURA
A.14.17.2;ADECUACIÓN DE INFRAESTRUCTURA
A.14.17.3;CONTRATACIÓN DEL SERVICIO
A.14.17.4;PRESTACIÓN DIRECTA DEL SERVICIO
A.14.17.4.1;TALENTO HUMANO QUE DESARROLLA FUNCIONES DE CARÁCTER OPERATIVO
A.14.17.4.2;ADQUISICIÓN DE INSUMOS, SUMINISTROS Y DOTACIÓN
A.14.18;PROTECCIÓN INTEGRAL A LA JUVENTUD
A.14.18.1;CONSTRUCCIÓN DE INFRAESTRUCTURA
A.14.18.2;ADECUACIÓN DE INFRAESTRUCTURA
A.14.18.3;CONTRATACIÓN DEL SERVICIO
A.14.18.4;PRESTACIÓN DIRECTA DEL SERVICIO
A.14.18.4.1;TALENTO HUMANO QUE DESARROLLA FUNCIONES DE CARÁCTER OPERATIVO
A.14.18.4.2;ADQUISICIÓN DE INSUMOS, SUMINISTROS Y DOTACIÓN
A.14.2;PROTECCIÓN INTEGRAL DE LA NIÑEZ
A.14.2.1;CONSTRUCCIÓN DE INFRAESTRUCTURA
A.14.2.2;ADECUACIÓN DE INFRAESTRUCTURA
A.14.2.3;CONTRATACIÓN DEL SERVICIO
A.14.2.4;PRESTACIÓN DIRECTA DEL SERVICIO
A.14.2.4.1;TALENTO HUMANO QUE DESARROLLA FUNCIONES DE CARÁCTER OPERATIVO
A.14.2.4.2;ADQUISICIÓN DE INSUMOS, SUMINISTROS Y DOTACIÓN
A.14.3;PROTECCIÓN INTEGRAL A LA ADOLESCENCIA
A.14.3.1;CONSTRUCCIÓN DE INFRAESTRUCTURA
A.14.3.2;ADECUACIÓN DE INFRAESTRUCTURA
A.14.3.3;CONTRATACIÓN DEL SERVICIO
A.14.3.4;PRESTACIÓN DIRECTA DEL SERVICIO
A.14.3.4.1;TALENTO HUMANO QUE DESARROLLA FUNCIONES DE CARÁCTER OPERATIVO
A.14.3.4.2;ADQUISICIÓN DE INSUMOS, SUMINISTROS Y DOTACIÓN
A.14.4;ATENCIÓN Y APOYO AL ADULTO MAYOR
A.14.4.1;CONSTRUCCIÓN DE INFRAESTRUCTURA
A.14.4.2;ADECUACIÓN DE INFRAESTRUCTURA
A.14.4.3;CONTRATACIÓN DEL SERVICIO
