Cod. Pptal,Nombre Rubro,Tipo,Cod FUT,Fuentes Rec,Uni Eje,Sit Fondos,Cod CGR,Cod Recurso,OER,CDA,Vig. Gasto,Fin. Gasto,Uni Ejec,Ent Recip,Codigo SIA,Clase pago SIA,Banco Pagos
23040147900104,Interventorã­a proyecto optimizacion alcantarill ,D,CP.I.17.1 ,110,,C,2.3.01.01.03.15,10,001,054,3,7062,07,000000000000000,C1,,
230401479004,INVERSION SECTOR EQUIPAMIENTO MUNICIPAL ,M,,,,,,,,,,,,,,,
23040147900405,Infraestrucutra adecuacion construccion y redes ,D,CP.I.6.6 ,110,,C,2.3.01.01.01.15,10,001,054,3,7062,07,000000000000000,C1,,
230402,RECURSOS PROPIOS DESTINACION ESPECIFICA ,M,,,,,,,,,,,,,,,
23040230,INVERSION SECTOR DEFENSA Y SEGURIDAD ,M,,,,,,,,,,,,,,,
2304023090,OTROS PROGRAMAS DE INVERSION - 5 SOBRE CONTRATOS L ,M,,,,,,,,,,,,,,,
230402309001,Proyectos fondo de seguridad ciudadana ,D,CP.I.18.4.7 ,110,,C,2.3.03.02.49,10,001,054,3,7062,07,000000000000000,C1,,
23040239,INVERSION SECTOR GOBIERNO ,M,,,,,,,,,,,,,,,
2304023901,ATENCION A GRUPOS VULNERABLES - ESTAMPILLA BIENEST ,M,,,,,,,,,,,,,,,
230402390101,ATENCION Y APOYO AL ADULTO MAYOR ,M,,,,,,,,,,,,,,,
23040239010102,Programas de atencion y apoyo al adulto mayor ,D,CP.I.14.4.3 ,110,,C,2.3.03.02.07,10,001,054,3,7062,07,000000000000000,C1,,
23040243,INVERSION SECTOR VIVIENDA - 5 PREDIAL ,M,,,,,,,,,,,,,,,
230402439001,PROGRAMAS DE VIVIENDA - 5 PREDIAL ,M,,,,,,,,,,,,,,,
23040243900102,Vivienda de interes social adecuacion y construcci ,D,CP.I.7.5 ,110,,C,2.3.06.02.13,10,001,054,3,7062,07,000000000000000,C1,,
23040245,INVERSION SECTOR CULTURA - ESTAMPILLA PROCULTURA ,M,,,,,,,,,,,,,,,
2304024534,FOMENTO Y APOYO AL ARTE Y LA CULTURA ,M,,,,,,,,,,,,,,,
230402453402,Fomento apoyo y difusion de eventos actividades y ,D,CP.I.5.1,110,,C,2.3.03.02.25,10,001,054,3,7062,07,000000000000000,C1,,
2304024590,BIBLIOTECAS PUBLICAS MUNICIPALES ,M,,,,,,,,,,,,,,,
230402459001,Programas de bibliotecas publicas ,D,CP.I.5.6.1 ,110,,C,2.3.03.01.01,10,001,054,3,7062,07,000000000000000,C1,,
23040247,OTROS SECTORES ,M,,,,,,,,,,,,,,,
2304024790,INVERSION SERVICIOS PUBLICOS DIFERENTES DE ACUEDUC ,M,,,,,,,,,,,,,,,
230402479001,Servicio de alumbrado publico (ssf) ,D,CP.I.6.2.2,110,,C,2.3.01.01.03.98,10,001,054,3,7062,07,000000000000000,C1,,
2309,INVERSION CON RECURSOS COFINANCIADOS ,M,,,,,,,,,,,,,,,
230947,INVERSION SECTOR EMPLEO ,M,,,,,,,,,,,,,,,
23094790,OTROS PROGRAMAS DE INVERSION ,M,,,,,,,,,,,,,,,
2309479003,FORTALECIMIENTO INSTITUCIONAL ,M,,,,,,,,,,,,,,,
230947900307,Financiacion Comite Permanente de Estratificacion ,D,CP.I.17.7 ,500,,C,2.3.03.01.98,10,019,054,3,7062,07,000000000000000,C3,,
