Fecha,Documento,Cuenta,Tercero,Detalle,Tipo,C,Concepto,Regimen subsidiado,Salud Publica,Prestacion de servicios,Otros Inversion,Otros funcionamiento,Total
31/01/2016,NCBT2,11101502,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE ENERO DE 2016,IN,D,TFSI.B.8.2.1.2.3,0,0,36,0,0,36
26/01/2016,ROIT2,11101502,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,ULTIMA DOCEAVA MES DE DICIEMBRE DE 2015 PARA POBLACION POBRE NO AFILIADA,IN,D,TFSI.A.2.12.4,0,0,1029,0,0,1029
25/01/2016,NCBT1,11101502,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE ENERO DE 2016,IN,D,TFSI.B.8.2.1.2.2,0,0,150,0,0,150
31/03/2016,NCBT59,11101503,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE MARZO DE 2016,IN,D,TFSI.B.8.2.1.2.2,0,337,0,0,0,337
22/03/2016,NCBT58,11101503,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE MARZO DE 2016,IN,D,TFSI.B.8.2.1.2.2,0,735,0,0,0,735
04/03/2016,ROIT7,11101503,MINISTERIO DE LA PROTECCION SOCIAL,RECAUDO CUOTA SALUD PUBLICA MES DE FEBRERO DE 2016,IN,D,TFSI.A.2.12.3,0,62164,0,0,0,62164
03/03/2016,NCBT28,11101503,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE MARZO DE 2016,IN,D,TFSI.B.8.2.1.2.2,0,106,0,0,0,106
29/02/2016,NCBT56,11101503,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE FEBRERO DE 2016,IN,D,TFSI.B.8.2.1.2.2,0,424,0,0,0,424
18/02/2016,ROIT4,11101503,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RECAUDO CUOTA DE ENERO PARA SALUD PUBLICA,IN,D,TFSI.A.2.12.3,0,62164,0,0,0,62164
17/02/2016,NCBT55,11101503,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE FEBRERO DE 2016,IN,D,TFSI.B.8.2.1.2.2,0,542,0,0,0,542
26/01/2016,NCBT4,11101503,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE ENERO DE 2016,IN,D,TFSI.B.8.2.1.2.2,0,736,0,0,0,736
26/01/2016,NCBT5,11101503,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE ENERO DE 2016,IN,D,TFSI.B.8.2.1.2.2,0,159,0,0,0,159
26/01/2016,ROIT1,11101503,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,ULTIMA DOCEAVA MES DE DICIEMBRE DE 2015 PARA SALUD PUBLICA,IN,D,TFSI.A.2.12.3,0,65488,0,0,0,65488
31/03/2016,NCBT62,11101506,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE MARZO DE 2016,IN,D,TFSI.B.8.2.1.2.1,2004,0,0,0,0,2004
29/02/2016,NCBT57,11101506,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE FEBRERO DE 2016,IN,D,TFSI.B.8.2.1.2.1,1872,0,0,0,0,1872
31/01/2016,NCBT3,11101506,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE ENERO DE 2016,IN,D,TFSI.B.8.2.1.2.1,1998,0,0,0,0,1998
,,,,,EG,D,PTFS.I,283175,0,0,0,0,283175
,,,,,EG,D,PTFS.I,0,183128,0,0,0,183128
,,,,,EG,D,PTFS.I,0,0,416,0,0,416
,,,,,EG,D,PTFS.I,0,0,0,0,0,0
,,,,,EG,D,PTFS.F,0,0,0,0,139676,139676
,,,,Saldo Final,,D,FTFS,1474704,531164,109010,20000,0,2134878
