Cod. Pptal,Nombre Rubro,Tipo,Cod FUT,Libre/Condicio,Acto Adtvo,No. Acto Adtvo,Porcent.,Valor,Fondo Local - Ejecucion,Fondo Local - Tesoreria,Cod CGR,Cod Recurso,Cod OER,Cod CDA,Ent Recip,Cod SIA,Banco SIA,Cod Cabildos,Fuente Cabildos
110101050303,Actividades del servicio,D,,,,,0,0,,,,,,,,1115,,,
11010106,VALLAS AVISOS Y TABLEROS,M,,,,,,,,,,,,,,,,,
1101010601,Vallas avisos y tableros vig actual,D,,,,,0,0,,,,,,,,1115,,,
1101010602,Vallas avisos y tableros vigencias anteriores,D,,,,,0,0,,,,,,,,1115,,,
11010107,Publicidad exterior visual,D,,,,,0,0,,,,,,,,1115,,,
11010108,Delineacion y urbanismo,D,,,,,0,0,,,,,,,,1115,,,
11010109,Espectaculos Publicos (para el deporte),D,,,,,0,0,,,,,,,,1115,,,
11010110,deguello de ganado mayor,D,,,,,0,0,,,,,,,,1115,,,
11010111,SOBRETASA BOMBERIL,M,,,,,,,,,,,,,,,,,
1101011101,Predial unificad 2%,D,,,,,0,0,,,,,,,,1115,,,
1101011102,Industria y comercio 6%,D,,,,,0,0,,,,,,,,1115,,,
11010112,Sobretasa a la gasolina,D,,,,,0,0,,,,,,,,1115,,,
11010113,ESTAMPILLAS PARA EL DESARROLLO TERRITORIAL,M,,,,,,,,,,,,,,,,,
1101011301,Estampilla Procultura,D,,,,,0,0,,,,,,,,1115,,,
1101011302,Estampilla Pro Centros Bienestar del Anciano,D,,,,,0,0,,,,,,,,1115,,,
11010114,Contribucion sobre Contratos de obra publica (5%),D,,,,,0,0,,,,,,,,1115,,,
11010115,OTROS IMPUESTOS TRIBUTARIOS RETEICA,M,,,,,,,,,,,,,,,,,
1101011501,Reteica vigencia actual,M,,,,,,,,,,,,,,,,,
110101150101,Actividades comerciales,D,,,,,0,0,,,,,,,,1115,,,
110101150102,Otros,D,,,,,0,0,,,,,,,,1115,,,
110101150103,Actividades del servicio,D,,,,,0,0,,,,,,,,1115,,,
1101011502,Reteica vigencia anterior,M,,,,,,,,,,,,,,,,,
110101150201,Actividades comerciales,D,,,,,0,0,,,,,,,,1115,,,
110101150202,Otros,D,,,,,0,0,,,,,,,,1115,,,
110101150203,Actividades del servicio,D,,,,,0,0,,,,,,,,1115,,,
11010116,Otros Impuestos Indirectos (Juegos de Azar),D,,,,,0,0,,,,,,,,1115,,,
11010117,Alumbrado Publico (Sin Situacion de Fondos),D,,,,,0,0,,,,,,,,1115,,,
110102,NO TRIBUTARIOS,M,,,,,,,,,,,,,,,,,
11010201,TASAS Y DERECHOS,M,,,,,,,,,,,,,,,,,
1101020101,Tasa Publicacion de contratos,D,,,,,0,0,,,,,,,,1245,,,
1101020102,Otras tasas (especies venales),M,,,,,,,,,,,,,,,,,
110102010201,Paz y salvos Municipales,D,,,,,0,0,,,,,,,,1245,,,
110102010202,Perifoneo,D,,,,,0,0,,,,,,,,1245,,,
110102010203,Formulario unico nacional,D,,,,,0,0,,,,,,,,1245,,,
110102010204,Certificaciones,D,,,,,0,0,,,,,,,,1245,,,
110102010205,Cueota alimnetaria,D,,,,,0,0,,,,,,,,1245,,,
110102010206,estratificacion,D,,,,,0,0,,,,,,,,1245,,,
110102010207,Lista de precios,D,,,,,0,0,,,,,,,,1245,,,
110102010208,Formulario perdida de documentos,D,,,,,0,0,,,,,,,,1245,,,
110102010209,Formulario vecindad y recidencia,D,,,,,0,0,,,,,,,,1245,,,
110102010210,Formularios Guia de transporte,D,,,,,0,0,,,,,,,,1245,,,
110102010211,Patentes,D,,,,,0,0,,,,,,,,1245,,,
110102010212,Otros,D,,,,,0,0,,,,,,,,1245,,,
11010202,MULTAS Y SANCIONES,M,,,,,,,,,,,,,,,,,
1101020203,INTERESES MORATORIOS,M,,,,,,,,,,,,,,,,,
110102020301,Predial,D,,,,,0,0,,,,,,,,1240,,,
110102020302,Industria y comercio,D,,,,,0,0,,,,,,,,1240,,,
110102020303,Vehiculos automotores,D,,,,,0,0,,,,,,,,1240,,,
1101020204,SANCIONES TRIBUTARIAS,M,,,,,,,,,,,,,,,,,
110102020402,Industria y comercio,D,,,,,0,0,,,,,,,,1240,,,
110102020403,Otras multas y sanciones,D,,,,,0,0,,,,,,,,1240,,,
11010204,VENTA DE BIENES Y SERVICIOS,M,,,,,,,,,,,,,,,,,
1101020404,Plazas de mercado,D,,,,,0,0,,,,,,,,1215,,,
1101020405,Plaza de ferias,D,,,,,0,0,,,,,,,,1215,,,
11010205,RENTAS CONTRACTUALES,M,,,,,,,,,,,,,,,,,
1101020501,Arrendamientos y alquileres,D,,,,,0,0,,,,,,,,1215,,,
1101020502,Alquiler maquinaria y equipo (Fondo OO PP),D,,,,,0,0,,,,,,,,1215,,,
11010206,TRANSFERENCIAS,M,,,,,,,,,,,,,,,,,
1101020601,TRANSFERENCIAS LIBRE DESTINACION,M,,,,,,,,,,,,,,,,,
110102060101,NIVEL NACIONAL,M,,,,,,,,,,,,,,,,,
11010206010101,SGP (Ley 715/01) Libre Destinacion,D,,,,,0,0,,,,,,,,1210,,,
110102060102,NIVEL DEPARTAMENTAL,M,,,,,,,,,,,,,,,,,
11010206010201,Vehiculos automotores,D,,,,,0,0,,,,,,,,1212,,,
110102060103,Cuotas partes pensionales y bonos pensionales,D,,,,,0,0,,,,,,,,1225,X,,
1101020602,TRANSFERENCIAS PARA INVERSION,M,,,,,,,,,,,,,,,,,
110102060201,NIVEL NACIONAL,M,,,,,,,,,,,,,,,,,
11010206020101,SISTEMA GENERAL DE PARTICIPACIONES (LEY 715/01),M,,,,,,,,,,,,,,,,,
1101020602010101,SGP (LEY 715/01) EDUCACION,M,,,,,,,,,,,,,,,,,
110102060201010101,SGP (LEY 715/01) POBLACION ATENDIDA - PRESTACION DEL SERVICIO,M,,,,,,,,,,,,,,,,,
11010206020101010101,PRESTACION DEL SERVICIO CON SITUACION DE FONDOS (80%),M,,,,,,,,,,,,,,,,,
1101020602010101010101,Prestacion del servicio Con Situacion de Fondos,D,,,,,0,0,,,,,,,,E,,,
1101020602010101010103,Cuota de administracion,D,,,,,0,0,,,,,,,,E,,,
1101020602010101010104,Ascensos en el escalafon,D,,,,,0,0,,,,,,,,E,,,
1101020602010101010105,Conectividad,D,,,,,0,0,,,,,,,,E,,,
11010206020101010102,PRESTACION DEL SERVICIO SIN SITUACION DE FONDOS (20%),M,,,,,,,,,,,,,,,,,
1101020602010101010201,Aportes patronales (69%),D,,,,,0,0,,,,,,,,E,,,
1101020602010101010202,Aportes Docentes (31%),D,,,,,0,0,,,,,,,,E,,,
110102060201010102,SGP (LEY 715/01) RECURSOS DE CALIDAD,M,,,,,,,,,,,,,,,,,
11010206020101010201,Calidad por Matricula,D,,,,,0,0,,,,,,,,1210,,,
11010206020101010202,Calidad por Gratuidad (Sin Situacion de Fondos),D,,,,,0,0,,,,,,,,1210,,,
110102060201010103,SGP (Ley 715/01) Alimentacion escolar,D,,,,,0,0,,,,,,,,1210,,,
1101020602010102,SGP (LEY 715/01) AGUA POTABLE Y SAN BASICO,M,,,,,,,,,,,,,,,,,
110102060201010201,SGP (Ley 715/01) Agua potable y san basico - CSF,D,,,,,0,0,,,,,,,,1210,,,
110102060201010202,SGP (Ley 715/01) Agua potable y san basico - SSF,D,,,,,0,0,,,,,,,,1210,,,
1101020602010103,SGP (Ley 715/01) Por crecimiento de la economia,D,,,,,0,0,,,,,,,,1210,,,
1101020602010104,SGP (LEY 715/01) PROPOSITO GENERAL,M,,,,,,,,,,,,,,,,,
110102060201010401,Deporte y recreacion,D,,,,,0,0,,,,,,,,1210,,,
110102060201010402,Cultura,D,,,,,0,0,,,,,,,,1210,,,
110102060201010403,Otros Sectores (Libre Inversion),D,,,,,0,0,,,,,,,,1210,,,
11010207,Otros ingresos no tributarios - convenios,D,,,,,0,0,,,,,,,,1210,,,
1102,RECURSOS DE CAPITAL,M,,,,,,,,,,,,,,,,,
110201,COFINANCIACIONES,M,,,,,,,,,,,,,,,,,
11020101,COFINANCIACION NACIONAL,M,,,,,,,,,,,,,,,,,
1102010101,COFINANCIACION NACIONAL NIVEL CENTRAL,M,,,,,,,,,,,,,,,,,
110201010101,convenio ministerio de relaciones exteriores,D,,,,,0,0,,,,,,,,1325,,,
110201010102,Programas de Educacion,D,,,,,0,0,,,,,,,,1325,,,
1102010102,OTRAS COFINANCIACIONES,M,,,,,,,,,,,,,,,,,
110201010201,Reconversion socio-laboral,D,,,,,0,0,,,,,,,,1325,,,
110201010202,Programa PAE (Ministerio de Educacion Nacional),D,,,,,0,0,,,,,,,,1325,,,
11020102,COFINANCIACION DEPARTAMENTAL,M,,,,,,,,,,,,,,,,,
1102010201,convenio mre - aporte gobernacion de narino,D,,,,,0,0,,,,,,,,1325,,,
1102010202,Otras Cofinanciaciones,D,,,,,0,0,,,,,,,,1325,,,
1102010203,apoyo y fomento deporte (conv. gobernacion de narino),D,,,,,0,0,,,,,,,,1325,,,
1102010204,mejoramiento mantenimiento y rehabilitacion de la via ipiales la victoria (convenio no. 1310 de 2013),D,,,,,0,0,,,,,,,,1325,,,
11020104,OTRAS COFINANCIACIONES,M,,,,,,,,,,,,,,,,,
1102010401,SECTOR DESCENTRALIZADO,M,,,,,,,,,,,,,,,,,
110201040103,Nivel Municipal Entes desentralizados,D,,,,,0,0,,,,,,,,1325,,,
110202,REGALIAS INDIRECTAS,M,,,,,,,,,,,,,,,,,
11020201,FONDO NACIONAL DE REGALIAS,M,,,,,,,,,,,,,,,,,
1102020101,Recursos Fondo Nacional de Regalias,D,,,,,0,0,,,,,,,,1325,,,
110204,RECURSOS DEL BALANCE,M,,,,,,,,,,,,,,,,,
11020401,RESERVAS PRESUPUESTALES 2013,M,,,,,,,,,,,,,,,,,
1102040101,inversion con sgp forzosa inversion,D,,,,,0,0,,,,,,,,,,,
1102040102,inversion con sgp proposito general - libre inversion,D,,,,,0,0,,,,,,,,,,,
1102040103,inversion sgp libre destinacion,D,,,,,0,0,,,,,,,,,,,
1102040104,ingresos corrientes - recursos propios,D,,,,,0,0,,,,,,,,,,,
1102040109,inversion con recursos cofinanciados,D,,,,,0,0,,,,,,,,,,,
1102040110,inversion con recursos de balance,D,,,,,0,0,,,,,,,,,,,
1102040112,inversion con recursos de regalias directas,D,,,,,0,0,,,,,,,,,,,
11020402,SUPERAVIT FISCAL,M,,,,,,,,,,,,,,,,,
1102040201,SUPERAVIT FISCAL DE LA VIGENCIA ANTERIOR,M,,,,,,,,,,,,,,,,,
110204020101,Recursos de libre destinacion,D,,,,,0,0,,,,,,,,1310,,,
110204020102,RECURSOS FORZOSA INVERSION,M,,,,,,,,,,,,,,,,,
11020402010201,RECURSOS SGP (DESTINACION ESPECIFICA),M,,,,,,,,,,,,,,,,,
1102040201020101,Educacion,D,,,,,0,0,,,,,,,,E,,,
1102040201020104,Agua potable y saneamiento basico,D,,,,,0,0,,,,,,,,1310,,,
1102040201020106,Proposito General (Libre inversion),D,,,,,0,0,,,,,,,,1310,,,
11020402010203,OTROS RECURSOS FORZOSA INVERSION DIFERENTES A SGP (CON DESTINACION ESPECIFICA),M,,,,,,,,,,,,,,,,,
1102040201020301,Recursos de Reconversion,D,,,,,0,0,,,,,,,,1310,,,
11020402010206,Regalias directas diferentes a SGR,D,,,,,0,0,,,,,,,,1310,,,
110205,VENTA DE ACTIVOS,M,,,,,,,,,,,,,,,,,
11020502,AL SECTOR PRIVADO,M,,,,,,,,,,,,,,,,,
1102050203,Venta de edificios,D,,,,,0,0,,,,,,,,1325,,,
110206,RENDIMIENTOS POR OPERACIONES FINANCIERAS,M,,,,,,,,,,,,,,,,,
11020601,Recursos de libre destinacion,D,,,,,0,0,,,,,,,,1325,,,
11020602,RECURSOS FORZOSA INVERSION,M,,,,,,,,,,,,,,,,,
1102060201,RECURSOS SGP (DESTINACION ESPECIFICA),M,,,,,,,,,,,,,,,,,
110206020101,Educacion,D,,,,,0,0,,,,,,,,1325,,,
110206020103,Alimentacion escolar,D,,,,,0,0,,,,,,,,1325,,,
110206020104,Agua potable y saneamiento basico,D,,,,,0,0,,,,,,,,1325,,,
110206020105,CRECIMIENTO DE LA ECONOMIA,M,,,,,,,,,,,,,,,,,
11020602010501,Primera infancia,D,,,,,0,0,,,,,,,,1325,,,
110206020106,Proposito General (Libre inversion),D,,,,,0,0,,,,,,,,1325,,,
110208,DESAHORRO FONPET,M,,,,,,,,,,,,,,,,,
11020801,Desahorro FONPET con y sin situacion de fondos,D,,,,,0,0,,,,,,,,1325,,,
110209,Utilidades y exedentes financieros (Empresas industriales comerciales y Establecimientos publicos),D,,,,,0,0,,,,,,,,1325,,,
1103,SISTEMA GENERAL DE REGALIAS,M,,,,,,,,,,,,,,,,,
110301,REALIAS CORRIENTES,M,,,,,,,,,,,,,,,,,
11030102,FONDO DE COMPENSACION REGIONAL,M,,,,,,,,,,,,,,,,,
1103010201,regalias fcr,D,,,,,0,0,,,,,,,,1501,,,
11030103,FONDO DE DESARROLLO REGIONAL DEL SGP,M,,,,,,,,,,,,,,,,,
1103010301,construccion e implementacion planta de beneficio animal regional sur ipiales,D,,,,,0,0,,,,,,,,1501,,,
11030105,FUNCIONAMIENTO DEL SISTEMA,M,,,,,,,,,,,,,,,,,
1103010503,fortalecimiento smsce del sgr,D,,,,,0,0,,,,,,,,1501,,,
12,FONDO LOCAL DE SALUD,M,,,,,,,,,,,,,,,,,
1201,INGRESOS CORRIENTES,M,,,,,,,,,,,,,,,,,
120101,NO TRIBUTARIOS,M,,,,,,,,,,,,,,,,,
12010101,MULTAS Y SANCIONES,M,,,,,,,,,,,,,,,,,
1201010101,Multas,D,,,,,0,0,,,,,,,,S,,,
12010103,OTROS INGRESOS NO TRIBUTARIOS,M,,,,,,,,,,,,,,,,,
1201010301,Rifas,D,,,,,0,0,,,,,,,,S,,,
1201010302,Otros ingresos no tributarios,D,,,,,0,0,,,,,,,,S,,,
12010104,TRANSFERENCIAS Y APORTES,M,,,,,,,,,,,,,,,,,
1201010401,TRANSFERENCIAS LIBRE DESTINACION,M,,,,,,,,,,,,,,,,,
120101040101,ETESA (25%),D,,,,,0,0,,,,,,,,S,,,
1201010402,TRANSFERENCIAS PARA INVERSION,M,,,,,,,,,,,,,,,,,
120101040201,REGIMEN SUBSIDIADO EN SALUD,M,,,,,,,,,,,,,,,,,
12010104020101,SGP (LEY 715/01),M,,,,,,,,,,,,,,,,,
1201010402010101,SGP Continuidad,D,,,,,0,0,,,,,,,,S,,,
12010104020102,FONDO DE SOLIDARIDAD Y GARANTIA,M,,,,,,,,,,,,,,,,,
1201010402010201,FOSYGA Continuidad,D,,,,,0,0,,,,,,,,S,,,
1201010402010202,FOSYGA ampliacion,D,,,,,0,0,,,,,,,,S,,,
12010104020103,ETESA,M,,,,,,,,,,,,,,,,,
1201010402010301,Regimen subsidiado (75%),D,,,,,0,0,,,,,,,,S,,,
12010104020104,OTROS APORTES,M,,,,,,,,,,,,,,,,,
1201010402010401,Departamentales,D,,,,,0,0,,,,,,,,S,,,
1201010402010402,Resguardos indigenas,D,,,,,0,0,,,,,,,,S,,,
120101040202,PRESTACION DE SERVICIOS POBLACION POBRE,M,,,,,,,,,,,,,,,,,
12010104020201,SGP (LEY 715/01) PRESTACION DE SERVICIOS,M,,,,,,,,,,,,,,,,,
1201010402020101,SGP Prestacion de servicios,D,,,,,0,0,,,,,,,,S,,,
1201010402020102,SGP Aportes patronales (sin situacion de fondos),D,,,,,0,0,,,,,,,,S,,,
120101040203,SALUD PUBLICA,M,,,,,,,,,,,,,,,,,
12010104020301,SGP (LEY 715/01) SALUD PUBLICA,M,,,,,,,,,,,,,,,,,
1201010402030101,SGP Salud publica,D,,,,,0,0,,,,,,,,S,,,
12010104020302,OTROS APORTES,M,,,,,,,,,,,,,,,,,
1201010402030201,Departamentales,D,,,,,0,0,,,,,,,,S,,,
1201010402030202,Resguardos indigenas,D,,,,,0,0,,,,,,,,S,,,
120101040204,OTROS GASTOS EN SALUD,M,,,,,,,,,,,,,,,,,
12010104020401,OTROS APORTES Y TRANSFERENCIAS,M,,,,,,,,,,,,,,,,,
1201010402040102,Departamentales (Convenio Tec Saneamiento),D,,,,,0,0,,,,,,,,S,,,
1201010402040103,Proyecto de Seguridad alimentaria y Nutricional,D,,,,,0,0,,,,,,,,S,,,
1202,RECURSOS DE CAPITAL,M,,,,,,,,,,,,,,,,,
120201,RECURSOS DE BALANCE,M,,,,,,,,,,,,,,,,,
12020101,SUPERAVIT FISCAL,M,,,,,,,,,,,,,,,,,
1202010101,VIGENCIAS ANTERIORES NO INCORPORADAS,M,,,,,,,,,,,,,,,,,
120201010101,Recursos libre destinacion,D,,,,,0,0,,,,,,,,S,,,
120201010102,RECURSOS FORZOSA INVERSION,M,,,,,,,,,,,,,,,,,
12020101010201,Recursos SGP,D,,,,,0,0,,,,,,,,S,,,
12020101010202,Recursos diferentes al SGP,D,,,,,0,0,,,,,,,,S,,,
120202,RENDIMIENTOS FINANCIEROS,M,,,,,,,,,,,,,,,,,
12020201,RENDIMIENTOS FINANCIEROS DESTINACION ESPECIFICA - SALUD,M,,,,,,,,,,,,,,,,,
1202020101,SGP Salud - Regimen subsidiado,D,,,,,0,0,,,,,,,,S,,,
1202020102,SGP Salud - Poblacion pobre no afiliada,D,,,,,0,0,,,,,,,,S,,,
1202020103,SGP Salud - Salud publica,D,,,,,0,0,,,,,,,,S,,,
1202020104,Recursos diferentes al SGP,D,,,,,0,0,,,,,,,,S,,,
12020202,RENDIMIENTOS FINANCIEROS LIBRE DESTINACION,D,,,,,0,0,,,,,,,,S,,,
14,OTROS FONDOS ESPECIALES TERRITORIALES,M,,,,,,,,,,,,,,,,,
1401,TRANSITO Y TRANSPORTE MUNICIPAL,M,,,,,,,,,,,,,,,,,
140101,RECURSOS PROPIOS,M,,,,,,,,,,,,,,,,,
14010101,Tasas derechos y servicios,D,,,,,0,0,,,,,,,,T,,,
14010102,Multas y sanciones,D,,,,,0,0,,,,,,,,T,,,
14010103,Transferencias,D,,,,,0,0,,,,,,,,T,,,
14010104,Contractuales,D,,,,,0,0,,,,,,,,T,,,
14010105,De Capital,D,,,,,0,0,,,,,,,,T,,,
15,INGRESOS ESTABLECIMIENTOS PUBLICOS,M,,,,,,,,,,,,,,,,,
1501,FONDO ROTATORIO DE VALORIZACION,M,,,,,,,,,,,,,,,,,
150101,INGRESOS CORRIENTES,M,,,,,,,,,,,,,,,,,
15010101,Valorizaciones,D,,,,,0,0,,,,,,,,V,,,
15010102,Ocasionales,D,,,,,0,0,,,,,,,,V,,,
15010103,Contractuales,D,,,,,0,0,,,,,,,,V,,,
15010104,Aportes y convenios,D,,,,,0,0,,,,,,,,V,,,
15010105,Tasas y derechos,D,,,,,0,0,,,,,,,,V,,,
15010106,Otros,D,,,,,0,0,,,,,,,,V,,,
150102,RECURSOS DE CAPITAL,M,,,,,,,,,,,,,,,,,
15010201,Recursos de Credito,D,,,,,0,0,,,,,,,,V,,,
15010202,Otros recursos de capital,D,,,,,0,0,,,,,,,,V,,,
1502,ORDEPI,M,,,,,,,,,,,,,,,,,
150201,INGRESOS CORRIENTES,M,,,,,,,,,,,,,,,,,
15020101,Tasas y ventas de servicios,D,,,,,0,0,,,,,,,,V,,,
15020102,Ingresos Contractuales,D,,,,,0,0,,,,,,,,V,,,
15020104,Otros,D,,,,,0,0,,,,,,,,V,,,
150202,RECURSOS DE CAPITAL,M,,,,,,,,,,,,,,,,,
15020201,Recursos de Balance,D,,,,,0,0,,,,,,,,V,,,
15020202,Rendimientos Financieros,D,,,,,0,0,,,,,,,,V,,,
